	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SYMBOL
ENSMUSG00000047213	99.8928839410306	-0.0655095329205634	0.112218815050877	-0.583766036834936	0.55937773129131	0.821124570972895	Ythdf3
ENSMUSG00000082896	2.53766697807424	-0.795473342413974	0.754061016095904	-1.05491906547892	0.291462341820265	NA	Gm5844
ENSMUSG00000025128	8.62508411771114	-0.352541402222336	0.268982655743413	-1.31064733987396	0.189976937547561	0.506893839363346	Bhlhe22
ENSMUSG00000039519	6.7657524404371	-0.00413893538109524	0.361881381366267	-0.0114372708688932	0.990874577107623	0.997151042621833	Cyp7b1
ENSMUSG00000027599	287.18832904118	-0.133549392198219	0.0620568932831948	-2.15204766356528	0.0313936005493848	0.182981253516619	Armc1
ENSMUSG00000103135	0.171069145934701	-0.98759785499866	2.41647156116909	-0.408694176612143	0.682764107889163	NA	Gm37979
ENSMUSG00000027601	148.163345368994	-0.00746736304611403	0.0760756234015838	-0.0981571062085911	0.921807542211709	0.974469741153651	Mtfr1
ENSMUSG00000069094	50.4368749529664	0.0689520267471925	0.143777431075873	0.479574758230349	0.631529798448362	0.861722593561908	Pde7a
ENSMUSG00000048106	11.8790618425834	0.00238429497663375	0.288812006146053	0.0082555258295876	0.993413118219416	0.998553933588878	4632415L05Rik
ENSMUSG00000003617	16.7435961048507	0.205068653646065	0.301407038233717	0.680371151409711	0.496269482758021	0.779301456898045	Cp
ENSMUSG00000027615	16.8746973745491	0.556101355148893	0.213199432579571	2.60836226635521	0.0090976615782459	0.0794033183501918	Hps3
ENSMUSG00000002428	29.4173919283103	0.14462710461047	0.167548441794065	0.863195760353486	0.388029844323116	0.712209918916879	Hltf
ENSMUSG00000019528	94.7328117268579	0.228440184691619	0.0951096719074806	2.40186071626698	0.0163119179727242	0.118333228815829	Gyg1
ENSMUSG00000039617	2.19787886503394	-0.0695164469436031	0.641338848649946	-0.108392696138616	0.913684194638222	NA	Gm7488
ENSMUSG00000106019	4.21834126387833	-1.19549085640993	0.638863339070825	-1.87127791390984	0.0613065701865914	0.271629628304814	Gm43672
ENSMUSG00000027630	93.9494518837412	0.426325335143264	0.10428549827007	4.08805962684479	4.3499635913502e-05	0.00126970984512875	Tbl1xr1
ENSMUSG00000102758	0.0690968054870301	0.882731488983705	4.92768185620347	0.179137272807584	0.857829915874514	NA	Naaladl2
ENSMUSG00000057036	4.26083265170485	-0.130433758479005	0.456148472863449	-0.285945840529102	0.774919603207986	0.92122670510173	Gm7536
ENSMUSG00000063887	0.098074873242051	0.401841440090947	3.47011401612123	0.115800644654354	0.907810539593512	NA	Nlgn1
ENSMUSG00000074664	0.0850533579414031	0	4.65910041984	0	1	NA	A830092H15Rik
ENSMUSG00000027699	253.948776598108	-0.142403134253717	0.0679309595425717	-2.09629210617103	0.0360562865701582	0.200462554071603	Ect2
ENSMUSG00000097584	0.124536737201893	0	3.6672966541531	0	1	NA	1700125G22Rik
ENSMUSG00000027698	82.5423084651813	0.178414668172879	0.114770052745234	1.55454026468841	0.120055599985157	0.396065952962009	Nceh1
ENSMUSG00000039286	250.255058966702	-0.0166867477044855	0.087673279918013	-0.19032877200545	0.849051508911732	0.951037723249169	Fndc3b
ENSMUSG00000043164	0.0990944457593168	-1.54150005297368	4.90487496959972	-0.314279173786866	0.75330901438189	NA	Tmem212
ENSMUSG00000027695	13.6800588584882	0.409432695533547	0.28359914784161	1.44370213609462	0.148822780316655	0.447071350594685	Pld1
ENSMUSG00000027692	0.667070213020878	1.3096170050513	1.25810096400761	1.04094746170418	0.297899932494978	NA	Tnik
ENSMUSG00000091329	0.165115366644982	-0.0790541916598701	2.73538833203507	-0.0289005369855678	0.976943917349374	NA	1700112D23Rik
ENSMUSG00000070522	0.0598947274744349	0	4.92768185620347	0	1	NA	Gm6505
ENSMUSG00000050192	26.674551275052	0.310272791651987	0.185992633655299	1.66819935582512	0.095276158744638	0.349691802441953	Eif5a2
ENSMUSG00000103827	0.134584483843911	0.401841796112638	3.20464828270955	0.125393416269968	0.900212100033351	NA	Gm32950
ENSMUSG00000039221	719.73137450375	0.0722978129147303	0.106712256290296	0.677502429693309	0.498087229018476	0.780612749987946	Rpl22l1
ENSMUSG00000104444	0.0817446594397223	0.882734651204119	4.13734914359011	0.213357543820472	0.831048093169448	NA	Gm33051
ENSMUSG00000027684	10.658358076565	-0.306525609073016	0.268178397231553	-1.14299142748755	0.253042150309035	0.587151326981489	Mecom
ENSMUSG00000085702	0.0755205643267858	0.882731856248507	4.84251675710621	0.182287826872903	0.855356851385186	NA	Mecomos
ENSMUSG00000102460	0.313424903088768	0.373667794620721	1.74394374637318	0.214265967808781	0.830339655487046	NA	Gm38197
ENSMUSG00000102505	0.0575926691968357	-0.559946035897134	4.92768185620347	-0.113632749076976	0.909528925477786	NA	1600017P15Rik
ENSMUSG00000037730	44.9509220070524	-0.152503027265191	0.156332776134823	-0.97550258516276	0.329311019980304	0.664798883237032	Mynn
ENSMUSG00000097786	0.685543119199856	-0.738659723214677	1.24355538103046	-0.593990211037156	0.552518660250187	NA	4933429H19Rik
ENSMUSG00000027706	298.756261566788	-0.0988919393529933	0.0627540301183779	-1.57586595102252	0.115056699360266	0.386306612636752	Sec62
ENSMUSG00000037661	0.106288116922944	0.40184155073999	3.38983644309496	0.118543049933437	0.90563738662952	NA	Gpr160
ENSMUSG00000037652	39.7777212050802	0.0275717161345431	0.163685011777654	0.16844374347479	0.866234197384391	0.955338027466953	Phc3
ENSMUSG00000037643	289.634298712291	0.109496840025034	0.0735121596915591	1.48950650456277	0.136354041786553	0.426072857181301	Prkci
ENSMUSG00000027660	62.8179581979266	-0.294465740252609	0.13382495880781	-2.20037983105604	0.0277799575799328	0.168360167981707	Skil
