"Gene","avg_log2FC","p_val","p_val_adj","pct_Male","pct_Female","Significant","Direction"
"Maml3",0.3153,1.00726068289563e-22,3.25194111472854e-18,0.512,0.381,"No","NS"
"Rasgrf1",0.3151,2.29076290994745e-144,7.39572805476534e-140,0.146,0.001,"No","NS"
"Ereg",0.315,1.95735080225734e-27,6.31930706508783e-23,0.345,0.215,"No","NS"
"Thsd4",0.3137,2.1234644623928e-92,6.85560501683516e-88,0.12,0.008,"No","NS"
"Ppp2r3a",0.3136,2.63911814913513e-29,8.52039294448275e-25,0.537,0.385,"No","NS"
"Rpl4",0.3135,6.42207648411573e-74,2.07336739289676e-69,0.975,0.965,"No","NS"
"Kdm5d",0.3132,2.9726107319575e-147,9.59707374812479e-143,0.146,0,"No","NS"
"Fndc3a",0.3129,1.86469334995912e-32,6.02016248034303e-28,0.348,0.208,"No","NS"
"Ier2",0.3125,3.26854515840165e-25,1.05524980438997e-20,0.621,0.499,"No","NS"
"Ube2e1",0.312,1.90403901488301e-39,6.14718995954979e-35,0.429,0.262,"No","NS"
"Eno3",0.3112,6.43595206968097e-97,2.0778471256965e-92,0.199,0.036,"No","NS"
"Osbpl6",0.3111,1.26554977804028e-20,4.08582745840304e-16,0.547,0.419,"No","NS"
"Timm23",0.3106,4.18424041995901e-33,1.35088201958377e-28,0.665,0.511,"No","NS"
"Asph",0.3104,2.67537303661973e-38,8.63744184872681e-34,0.426,0.259,"No","NS"
"Gpr85",0.3101,1.67552678580032e-118,5.40943822795633e-114,0.187,0.022,"No","NS"
"Cs",0.3093,4.44174842692335e-28,1.4340184796322e-23,0.623,0.484,"No","NS"
"Rplp2",0.3091,1.85387008460712e-112,5.98521956815409e-108,0.992,0.993,"No","NS"
"Mrpl22",0.3087,7.54446758177377e-35,2.43573135877566e-30,0.403,0.248,"No","NS"
"Rpl29",0.3086,2.23725177177636e-84,7.22296734517997e-80,0.986,0.987,"No","NS"
"Rps3",0.3085,1.10418264653457e-104,3.56485367433686e-100,0.99,0.991,"No","NS"
"Ahnak",0.3082,9.52011528432345e-45,3.07356921954382e-40,0.955,0.942,"No","NS"
"Ints6",0.307,4.50641182194768e-34,1.45489505671581e-29,0.407,0.252,"No","NS"
"Rarg",0.3069,6.28596468283733e-54,2.02942369785403e-49,0.249,0.099,"No","NS"
"Cyp1b1",0.3059,9.67490882938739e-141,3.12354431556772e-136,0.169,0.008,"No","NS"
"Mthfd1l",0.3055,4.40387910410997e-29,1.4217923687619e-24,0.456,0.312,"No","NS"
"Gm8797",0.3052,6.05549464968917e-24,1.95501644765215e-19,0.69,0.584,"No","NS"
"Galnt13",0.3036,6.27569234939651e-115,2.02610727500266e-110,0.148,0.01,"No","NS"
"Samhd1",0.3033,3.10459127731422e-52,1.0023172938809e-47,0.289,0.127,"No","NS"
"Zfc3h1",0.3032,4.77063467548945e-25,1.54019940498177e-20,0.475,0.337,"No","NS"
"Mrpl27",0.3031,1.42798802015861e-39,4.61025932308206e-35,0.434,0.266,"No","NS"
"Mri1",0.302,1.17134456492095e-40,3.7816859278473e-36,0.411,0.241,"No","NS"
"Usp15",0.3015,3.11891027990951e-28,1.00694018386879e-23,0.574,0.435,"No","NS"
"Eef2",0.3013,4.31066841978365e-63,1.39169929932715e-58,0.976,0.974,"No","NS"
"Naa16",0.3013,1.69743570678788e-37,5.48017117936467e-33,0.37,0.213,"No","NS"
"Fbln2",0.3007,3.71680874833005e-167,1.19997170439836e-162,0.43,0.102,"No","NS"
"Rpl12",0.3006,1.72995291743193e-94,5.58515299392898e-90,0.992,0.987,"No","NS"
"Supt16",0.3004,1.6528002093542e-24,5.33606547590003e-20,0.678,0.577,"No","NS"
"Plp2",0.3,1.37809545948918e-33,4.44918119096083e-29,0.557,0.4,"No","NS"
"Nme2",0.2988,8.58334548635901e-80,2.77113309027101e-75,0.98,0.976,"No","NS"
"Sarnp",0.2985,1.0929970411569e-34,3.52874094737506e-30,0.793,0.691,"No","NS"
"Rps15a",0.2981,1.2764084883278e-86,4.12088480456631e-82,0.991,0.991,"No","NS"
"Mcam",0.2974,3.54319334726081e-95,1.14391997216315e-90,0.193,0.035,"No","NS"
"Emilin1",0.2972,3.71892234193271e-62,1.20065407809298e-57,0.238,0.082,"No","NS"
"Ppp1r9a",0.297,5.79614474609565e-30,1.87128533127698e-25,0.291,0.164,"No","NS"
"Ccn2",0.297,1.16686740804614e-18,3.76723142687698e-14,0.441,0.331,"No","NS"
"A830082K12Rik",0.2963,3.87602042798882e-96,1.25137319517619e-91,0.155,0.018,"No","NS"
"Lncppara",0.2962,1.85394096634786e-20,5.98544840985408e-16,0.555,0.433,"No","NS"
"Zmym2",0.2961,3.87686297374345e-32,1.25164521107307e-27,0.329,0.192,"No","NS"
"Dlk2",0.2959,3.10361739827556e-64,1.00200287703327e-59,0.247,0.086,"No","NS"
"Xpo4",0.2954,1.48908501938721e-25,4.80751098509159e-21,0.393,0.263,"No","NS"
"Cnih1",0.2952,1.89201745331622e-36,6.1083783480314e-32,0.462,0.292,"No","NS"
"Gtf2f2",0.2947,1.65430408432305e-47,5.34092073623698e-43,0.343,0.173,"No","NS"
"Eif4b",0.2946,2.34982437159385e-31,7.58640798369074e-27,0.74,0.622,"No","NS"
"Ptms",0.2941,1.523295983603e-31,4.9179610830623e-27,0.88,0.799,"No","NS"
"Slc25a30",0.294,2.12248247595274e-65,6.85243467361343e-61,0.248,0.084,"No","NS"
"Dhrs4",0.2939,4.32265359320784e-97,1.39556871256715e-92,0.203,0.038,"No","NS"
"S100a6",0.2939,8.68540908122962e-51,2.80408432187498e-46,0.999,1,"No","NS"
"Eef1akmt1",0.2934,2.52907976122268e-37,8.16513400910741e-33,0.417,0.251,"No","NS"
"Ube2n",0.2934,2.87042151512443e-31,9.26715586157921e-27,0.648,0.494,"No","NS"
"Galk1",0.2933,2.24994256946645e-28,7.26393958552244e-24,0.649,0.506,"No","NS"
"Ebpl",0.2929,7.54683047790196e-99,2.43649421979065e-94,0.172,0.024,"No","NS"
"Mrps24",0.2929,7.35511102944819e-25,2.37459759585735e-20,0.547,0.411,"No","NS"
"Cops9",0.2924,1.65153351893713e-24,5.33197596588852e-20,0.608,0.482,"No","NS"
"Nudcd3",0.2923,4.72569914583515e-30,1.52569196923288e-25,0.792,0.691,"No","NS"
"Snrpe",0.2921,1.71595696446818e-38,5.53996705978551e-34,0.872,0.783,"No","NS"
"Gar1",0.2921,1.9583383606017e-33,6.32249539720257e-29,0.486,0.329,"No","NS"
"Mrpl36",0.2918,2.96751460193503e-36,9.58062089234723e-32,0.396,0.237,"No","NS"
"Oxa1l",0.291,8.04030111011905e-45,2.59581121340193e-40,0.281,0.133,"No","NS"
"Mrpl54",0.2903,1.95361703708198e-25,6.30725260421917e-21,0.659,0.536,"No","NS"
"Scd1",0.29,3.24532429882773e-63,1.04775294987653e-58,0.15,0.033,"No","NS"
"Pibf1",0.29,2.888335005661e-34,9.32498956577654e-30,0.318,0.176,"No","NS"
"Cct4",0.2899,9.99133654816883e-30,3.22570300457631e-25,0.775,0.675,"No","NS"
"Pid1",0.2899,4.81005948558323e-21,1.55292770492054e-16,0.153,0.077,"No","NS"
"Akap13",0.2889,4.19321569780348e-19,1.35377968803585e-14,0.548,0.431,"No","NS"
"Rps3a1",0.2888,1.36490069764865e-67,4.40658190235866e-63,0.975,0.965,"No","NS"
"Gramd4",0.2887,3.3190463275092e-48,1.07155410683635e-43,0.267,0.117,"No","NS"
"Rangrf",0.2881,6.67340250203217e-49,2.15450799778109e-44,0.291,0.134,"No","NS"
"Gars",0.2877,5.60569886732988e-28,1.80979987931745e-23,0.644,0.51,"No","NS"
"Adamtsl5",0.2874,1.25502330921096e-78,4.05184275378759e-74,0.183,0.039,"No","NS"
"Bmper",0.2872,2.09518872518312e-48,6.76431679925369e-44,0.215,0.082,"No","NS"
"Ndufa12",0.2867,3.18997650975248e-26,1.02988391617359e-21,0.839,0.769,"No","NS"
"Frs2",0.2862,5.4313471075653e-22,1.75351041367746e-17,0.42,0.295,"No","NS"
"Nab2",0.2858,4.55616864778378e-36,1.470959047937e-31,0.384,0.231,"No","NS"
"Msmo1",0.2858,3.40645425625069e-26,1.09977375663053e-21,0.594,0.455,"No","NS"
"Ahnak2",0.2855,2.69422662173941e-27,8.69831064828569e-23,0.522,0.374,"No","NS"
"Pvt1",0.2849,2.65740560971498e-14,8.57943401096483e-10,0.632,0.539,"No","NS"
"Cox7c",0.2844,5.56872380124924e-52,1.79786247923332e-47,0.956,0.949,"No","NS"
"Ube2b",0.2842,8.95113590852355e-24,2.88987422806683e-19,0.747,0.623,"No","NS"
"Cdk18",0.2839,7.78796683621786e-119,2.51434509307294e-114,0.158,0.011,"No","NS"
"Zmiz1",0.2839,3.8210638705042e-20,1.23363047059228e-15,0.486,0.363,"No","NS"
"Rps8",0.2833,2.40055609892811e-143,7.7501953653894e-139,1,0.999,"No","NS"
"Ddit4",0.2827,4.85534086042847e-56,1.56754679678933e-51,0.199,0.064,"No","NS"
"Snx3",0.2823,3.52326206844449e-25,1.1374851587973e-20,0.718,0.603,"No","NS"
"Las1l",0.2822,5.36605920637199e-30,1.7324322147772e-25,0.58,0.433,"No","NS"
"Kdm5b",0.2816,2.83298222435174e-25,9.14628311131961e-21,0.301,0.182,"No","NS"
"Nhp2",0.2811,3.77337310772062e-24,1.2182335078276e-19,0.741,0.651,"No","NS"
"Pold2",0.2806,6.02617017304911e-29,1.94554904036891e-24,0.488,0.341,"No","NS"
"Hmgcs1",0.2805,8.38221091036889e-27,2.7061967924126e-22,0.551,0.398,"No","NS"
"Chd8",0.2795,1.49907515106516e-27,4.83976412521386e-23,0.44,0.298,"No","NS"
"Gm49890",0.2793,5.59457835905435e-16,1.8062096232207e-11,0.504,0.39,"No","NS"
"Agpat3",0.2791,1.23793318150391e-35,3.99666727648538e-31,0.391,0.234,"No","NS"
"Hck",0.2787,1.80162509937319e-70,5.81654663332635e-66,0.167,0.036,"No","NS"
"Mdp1",0.2785,1.0389310595426e-62,3.35418892573329e-58,0.22,0.07,"No","NS"
"Rtn4",0.2784,6.49632068208979e-33,2.09733713221269e-28,0.94,0.909,"No","NS"
"Slc25a24",0.278,7.33893610052774e-59,2.36937552005538e-54,0.243,0.088,"No","NS"
"Rnf181",0.2779,2.47430789271374e-47,7.98830303162632e-43,0.28,0.128,"No","NS"
"Ebf1",0.2777,3.64883454335047e-11,1.1780262323207e-06,0.359,0.28,"No","NS"
"Ssbp1",0.2773,1.72698963006393e-26,5.57558602066141e-22,0.537,0.395,"No","NS"
"Cox6a1",0.2769,9.46416933180232e-33,3.05550706877238e-28,0.915,0.872,"No","NS"
"Pabpn1",0.2769,2.69318593455066e-26,8.69495078969679e-22,0.737,0.628,"No","NS"
"Ghitm",0.2768,1.06017430416494e-33,3.42277274099651e-29,0.499,0.335,"No","NS"
"Ascc3",0.2764,1.5373883390143e-19,4.96345825250767e-15,0.599,0.475,"No","NS"
"Sh3pxd2a",0.2762,5.96305051295459e-25,1.92517085810739e-20,0.365,0.237,"No","NS"
"Arhgdia",0.2758,2.43378592953044e-25,7.85747787348904e-21,0.791,0.682,"No","NS"
"Dnajc15",0.2755,4.11278083606789e-36,1.32781129292452e-31,0.287,0.148,"No","NS"
"Pwwp3a",0.2745,5.68559495368452e-35,1.83559433079705e-30,0.338,0.192,"No","NS"
"Hnrnpl",0.2744,1.25812555969596e-26,4.06185836947842e-22,0.603,0.461,"No","NS"
"Tsfm",0.2742,2.47980314367016e-37,8.0060444493391e-33,0.375,0.219,"No","NS"
"Syne2",0.2742,2.52449073243674e-25,8.150318329672e-21,0.536,0.392,"No","NS"
"Selenow",0.2741,2.19308841284225e-26,7.0803859408612e-22,0.713,0.589,"No","NS"
"Dap",0.2735,1.59704637952526e-28,5.15606423629729e-24,0.655,0.507,"No","NS"
"Anxa1",0.2729,1.04032887298224e-31,3.35870176642317e-27,0.842,0.731,"No","NS"
"Dleu2",0.2729,1.81684840321781e-19,5.8656950697887e-15,0.365,0.253,"No","NS"
"Gng5",0.2728,8.9180379253823e-31,2.87918854420968e-26,0.838,0.746,"No","NS"
"Rab30",0.2724,7.24388412214949e-35,2.33868798883596e-30,0.313,0.173,"No","NS"
"Runx2",0.2724,1.30353585570824e-18,4.20846551015407e-14,0.655,0.544,"No","NS"
"Nucb2",0.2717,1.14148160820998e-29,3.68527337210591e-25,0.414,0.264,"No","NS"
"Idh1",0.2707,3.13970535231304e-44,1.01365387299426e-39,0.243,0.105,"No","NS"
"Dock8",0.2706,1.4322206248047e-126,4.62392428718196e-122,0.154,0.008,"No","NS"
"Snhg18",0.2706,8.88273657189959e-94,2.86779150223778e-89,0.173,0.027,"No","NS"
"Pdk4",0.2705,1.14734032992245e-73,3.70418825515463e-69,0.153,0.028,"No","NS"
"Snhg8",0.2705,4.59682433144077e-29,1.48408473540565e-24,0.576,0.432,"No","NS"
"Lsm6",0.2703,6.90794929483489e-28,2.23023142983745e-23,0.644,0.504,"No","NS"
"Pcbp3",0.2702,4.21295202234427e-30,1.36015156041385e-25,0.317,0.186,"No","NS"
"Pcyt2",0.2694,3.65826493470494e-44,1.18107083416949e-39,0.265,0.119,"No","NS"
"Washc3",0.2692,1.86926079790864e-29,6.03490848604804e-25,0.338,0.203,"No","NS"
"Srebf1",0.2686,3.26516480122149e-119,1.05415845607436e-114,0.169,0.015,"No","NS"
"Mir99ahg",0.2686,1.25502211319554e-20,4.0518388924518e-16,0.415,0.292,"No","NS"
"Tmem171",0.2684,4.43677069726054e-23,1.43241141961057e-18,0.554,0.409,"No","NS"
"Smim14",0.2683,4.52449899767011e-26,1.46073450139779e-21,0.449,0.303,"No","NS"
"Id2",0.2683,1.9956883639691e-19,6.44307988307422e-15,0.581,0.474,"No","NS"
"Osgep",0.2682,1.59124727428209e-44,5.13734182501973e-40,0.324,0.162,"No","NS"
"Fam172a",0.2682,1.89677474042793e-21,6.12373724947158e-17,0.461,0.337,"No","NS"
"Rack1",0.2681,3.26785322697237e-83,1.05502641432803e-78,0.993,0.99,"No","NS"
"Pspc1",0.2679,8.88906379911382e-27,2.8698342475439e-22,0.437,0.295,"No","NS"
"S100a13",0.2677,1.60208115139748e-32,5.17231899728676e-28,0.397,0.246,"No","NS"
"Reps1",0.2675,5.12007729829721e-22,1.65301695575525e-17,0.467,0.344,"No","NS"
"Gabarap",0.2674,2.14679270095441e-22,6.9309202350313e-18,0.754,0.642,"No","NS"
"Zeb1",0.267,8.94736412810681e-16,2.88865650875928e-11,0.632,0.531,"No","NS"
"Abhd2",0.2669,4.33537419362696e-26,1.39967555841246e-21,0.291,0.171,"No","NS"
"Rps5",0.2668,3.29352868173657e-76,1.06331573489865e-71,0.99,0.993,"No","NS"
"Pcolce2",0.2668,2.51516284434551e-31,8.12020324296947e-27,0.429,0.27,"No","NS"
"Cenpx",0.2665,2.70301103805104e-28,8.72667113634779e-24,0.377,0.239,"No","NS"
"Rbm8a",0.2662,1.70152886321457e-26,5.49338593488823e-22,0.801,0.718,"No","NS"
"Lta4h",0.2659,2.68377757287442e-33,8.66457589402508e-29,0.392,0.242,"No","NS"
"Babam2",0.2657,6.43189249509594e-24,2.07653649204173e-19,0.471,0.337,"No","NS"
"Prmt5",0.2656,8.06594481654487e-33,2.60409028402151e-28,0.408,0.251,"No","NS"
"Hnrnpa0",0.2654,3.47705402914952e-23,1.12256689331092e-18,0.572,0.443,"No","NS"
"Pam",0.2652,2.57437156356319e-18,8.31135859296377e-14,0.722,0.634,"No","NS"
"Dph3",0.265,1.0487903884032e-35,3.38601976895973e-31,0.433,0.268,"No","NS"
"Hk1",0.2649,9.78085623552883e-30,3.15774943564048e-25,0.422,0.273,"No","NS"
"Rpf2",0.2649,7.67006782137277e-27,2.4762813961302e-22,0.484,0.341,"No","NS"
"Fhl2",0.2648,7.6660453062645e-34,2.4749827271275e-29,0.315,0.174,"No","NS"
"Wdr83os",0.2645,3.26946002386935e-26,1.05554516870622e-21,0.568,0.425,"No","NS"
"Cisd1",0.2639,1.013859177545e-20,3.27324435470404e-16,0.722,0.635,"No","NS"
"Gnb4",0.2638,1.08942147630591e-52,3.51719723625364e-48,0.191,0.063,"No","NS"
"Fgfrl1",0.2635,3.04595499787014e-67,9.83386571062376e-63,0.169,0.039,"No","NS"
"1600002K03Rik",0.2632,7.07164004630338e-96,2.28307898894905e-91,0.168,0.024,"No","NS"
"Snhg5",0.2626,2.31254441947371e-30,7.46604965827086e-26,0.398,0.254,"No","NS"
"B130024G19Rik",0.2625,8.67160509139614e-68,2.79962770375724e-63,0.17,0.04,"No","NS"
"Pa2g4",0.2624,1.19310282708831e-25,3.85193247725461e-21,0.806,0.741,"No","NS"
"Ndufs4",0.2621,1.06805861458512e-21,3.44822723718805e-17,0.673,0.559,"No","NS"
"Xrcc5",0.2618,3.39964811532719e-32,1.09757639403338e-27,0.313,0.175,"No","NS"
"Pxdc1",0.2618,6.58922107515706e-31,2.12733002411446e-26,0.325,0.189,"No","NS"
"Nabp2",0.2615,4.99378683135279e-34,1.61224407850225e-29,0.433,0.27,"No","NS"
"Myo1e",0.2615,5.85976750571751e-10,1.8918259392209e-05,0.722,0.655,"No","NS"
"Fchsd2",0.2613,9.91639693616452e-21,3.20150875084072e-16,0.325,0.215,"No","NS"
"Mcrip1",0.2612,1.62309605410122e-32,5.24016561066579e-28,0.371,0.222,"No","NS"
"Htra2",0.2609,9.28388427652727e-25,2.99730203867683e-20,0.49,0.347,"No","NS"
"Pafah1b3",0.2606,6.72729322480296e-50,2.17190661762764e-45,0.211,0.077,"No","NS"
"Cdk17",0.2604,1.6810787570776e-12,5.42736276722504e-08,0.578,0.496,"No","NS"
"Dbndd2",0.2601,4.3952897477465e-25,1.41901929505996e-20,0.48,0.348,"No","NS"
"G3bp1",0.2596,7.89173318735489e-24,2.54784605953753e-19,0.782,0.699,"No","NS"
"Fign",0.2594,5.64443503738579e-79,1.82230585182e-74,0.13,0.016,"No","NS"
"Gchfr",0.2593,6.57166084387313e-27,2.12166070344444e-22,0.407,0.268,"No","NS"
"Tmem256",0.259,1.96975128902254e-27,6.35934203660927e-23,0.504,0.353,"No","NS"
"Ngef",0.2589,6.32238073510921e-118,2.04118062033001e-113,0.146,0.008,"No","NS"
"Hmgb2",0.2584,4.44590032075329e-14,1.4353589185552e-09,0.847,0.801,"No","NS"
"Rfx7",0.2577,1.09906961368423e-21,3.54834624777952e-17,0.412,0.288,"No","NS"
"Rps18",0.2576,9.25184043519997e-76,2.98695668450431e-71,0.994,0.996,"No","NS"
"Dctpp1",0.2574,9.35304198374013e-23,3.0196296044505e-18,0.49,0.361,"No","NS"
"Cox7b",0.2573,5.43712765521923e-27,1.75537666348753e-22,0.873,0.808,"No","NS"
"Iars2",0.2572,1.26185383422251e-22,4.07389510378737e-18,0.462,0.334,"No","NS"
"Zc3h13",0.257,9.8278356764292e-24,3.17291674813517e-19,0.468,0.34,"No","NS"
"Klf5",0.257,2.70574099274551e-20,8.73548479507889e-16,0.366,0.253,"No","NS"
"Appl1",0.2569,1.02755504473236e-29,3.31746146191842e-25,0.395,0.255,"No","NS"
"Rbpj",0.2569,4.95661859997666e-20,1.60024431500246e-15,0.511,0.394,"No","NS"
"Ost4",0.2563,5.5317789452653e-19,1.7859348324789e-14,0.567,0.445,"No","NS"
"Malat1",0.2559,2.50380703872842e-13,8.08354102453471e-09,0.994,0.993,"No","NS"
"Fryl",0.2558,5.11705181886836e-14,1.65204017972165e-09,0.564,0.464,"No","NS"
"Igfbp3",0.2558,4.68618309863095e-10,1.512934213393e-05,0.246,0.179,"No","NS"
"Nudcd2",0.2557,1.46408572732951e-23,4.72680077068334e-19,0.526,0.39,"No","NS"
"Ldhb",0.2557,0.0370555783572442,1,0.405,0.385,"No","NS"
"Tomm5",0.2556,3.0430914183296e-19,9.82462064407711e-15,0.648,0.531,"No","NS"
"Col11a1",0.2555,3.48918556739194e-07,0.0112648356043249,0.168,0.123,"No","NS"
"Gnb2",0.2554,1.52596924884647e-27,4.92659171990083e-23,0.855,0.775,"No","NS"
"Spry2",0.2548,2.32779091562215e-38,7.5152729710861e-34,0.231,0.105,"No","NS"
"Etl4",0.2548,1.60862488744442e-20,5.1934454491143e-16,0.323,0.212,"No","NS"
"Fez2",0.2546,2.6213440188694e-19,8.46300916491985e-15,0.548,0.432,"No","NS"
"Radil",0.2544,1.40439198363084e-57,4.53407951915216e-53,0.215,0.07,"No","NS"
"Sdc3",0.2539,1.88600546372314e-45,6.08896863963016e-41,0.146,0.044,"No","NS"
"Rpl9-ps6",0.2539,4.79181411567958e-26,1.54703718724715e-21,0.509,0.363,"No","NS"
"Zdhhc20",0.2537,1.11662019396378e-22,3.60500829621207e-18,0.464,0.333,"No","NS"
"Glt1d1",0.2535,3.34019612771659e-115,1.0783823198333e-110,0.135,0.005,"No","NS"
"Rps6",0.2523,3.85711805986304e-56,1.24527056562678e-51,0.985,0.987,"No","NS"
"Tbc1d4",0.2516,8.12839693978181e-42,2.62425295200856e-37,0.203,0.081,"No","NS"
"Acaa2",0.2515,2.04988412750992e-25,6.61805090566577e-21,0.419,0.286,"No","NS"
"Mgat4b",0.2509,5.4530786308402e-25,1.76052643596676e-20,0.459,0.32,"No","NS"
"Hdac2",0.2508,1.09804603277452e-23,3.54504161681254e-19,0.521,0.385,"No","NS"
"mt-Nd2",0.2501,4.88180955791748e-13,1.57609221577366e-08,0.723,0.662,"No","NS"
"Ywhae",0.2499,8.42145513126696e-32,2.71886678912954e-27,0.916,0.88,"No","NS"
"Hpcal1",0.2496,1.47513483745962e-44,4.7624728227384e-40,0.254,0.111,"No","NS"
"Btbd3",0.2495,3.30585284526652e-25,1.0672945910943e-20,0.295,0.176,"No","NS"
"Sept9",0.2494,3.31019723131888e-28,1.0686971761313e-23,0.363,0.224,"No","NS"
"Micos10",0.2491,3.76193284458739e-27,1.21454001887504e-22,0.849,0.771,"No","NS"
"Tecr",0.2491,2.34749520610742e-22,7.5788882729178e-18,0.736,0.639,"No","NS"
"Sms",0.2489,2.96257363976436e-28,9.56466899597924e-24,0.638,0.494,"No","NS"
"Arf1",0.2489,2.08300226417972e-21,6.72497280990422e-17,0.784,0.692,"No","NS"
"Wbp4",0.2487,3.29220835190414e-22,1.06288946641225e-17,0.61,0.491,"No","NS"
"Spag9",0.2486,1.32930203062538e-18,4.29165160587405e-14,0.72,0.619,"No","NS"
"Thra",0.2485,4.89289866617948e-23,1.57967233437604e-18,0.328,0.209,"No","NS"
"Fzd3",0.2483,1.21739254030545e-46,3.93035181637614e-42,0.23,0.093,"No","NS"
"Tspan5",0.2469,9.39486971190026e-19,3.033133686487e-14,0.604,0.482,"No","NS"
"Zcchc24",0.2467,7.7565541511038e-26,2.50420350768386e-21,0.267,0.154,"No","NS"
"Ptges3",0.2466,6.61610180793417e-25,2.13600846869155e-20,0.886,0.874,"No","NS"
"Taf15",0.2463,5.56195425616055e-18,1.79567693160144e-13,0.521,0.404,"No","NS"
"Ccn1",0.2463,1.27197926592466e-13,4.10658506003777e-09,0.87,0.819,"No","NS"
"Insig1",0.246,8.95100434374895e-38,2.88983175237935e-33,0.282,0.14,"No","NS"
"Vcl",0.2457,5.7434070101584e-17,1.85425895322964e-12,0.809,0.736,"No","NS"
"Pfdn1",0.2456,2.70111200879705e-21,8.72054012040129e-17,0.808,0.72,"No","NS"
"Cbr2",0.2456,1.75155799780381e-17,5.65490499590959e-13,0.344,0.241,"No","NS"
"Sema5a",0.2449,1.46325888817384e-21,4.72413132046925e-17,0.334,0.216,"No","NS"
"Rbx1",0.2445,5.49721397813536e-26,1.774775532841e-21,0.882,0.824,"No","NS"
"Epb41l2",0.2444,3.41230780946166e-15,1.1016635762847e-10,0.659,0.575,"No","NS"
"Artn",0.2443,2.00027541684125e-121,6.45788918327198e-117,0.148,0.007,"No","NS"
"Txndc17",0.2438,2.82677583749303e-18,9.12624579134625e-14,0.711,0.606,"No","NS"
"Cdc40",0.2437,5.45417339456221e-20,1.76087988043441e-15,0.482,0.363,"No","NS"
"Wdr89",0.2431,9.33760123612596e-28,3.01464455908327e-23,0.548,0.401,"No","NS"
"Rap1gap2",0.2429,1.35670926956198e-51,4.38013587678086e-47,0.206,0.072,"No","NS"
"Prkar1a",0.2426,1.03559855228618e-20,3.34342992605593e-16,0.713,0.6,"No","NS"
"R3hdm2",0.2426,1.04774191968776e-18,3.38263478771194e-14,0.535,0.414,"No","NS"
"Slmap",0.2424,4.56869708401967e-21,1.47500385357575e-16,0.479,0.349,"No","NS"
"Mrpl12",0.2418,3.63605895278008e-17,1.17390163290505e-12,0.663,0.567,"No","NS"
"Ccdc6",0.2417,6.30645790517693e-28,2.03603993468637e-23,0.322,0.192,"No","NS"
"Plpp2",0.2415,1.22015317035814e-35,3.93926451050126e-31,0.278,0.143,"No","NS"
"Plpbp",0.2412,1.00261529835094e-21,3.236943490726e-17,0.369,0.247,"No","NS"
"Mical1",0.2406,1.20932086429916e-93,3.90429241038984e-89,0.154,0.019,"No","NS"
"Ap2b1",0.2405,6.70154788102431e-26,2.1635947333887e-21,0.531,0.383,"No","NS"
"Lrrc8c",0.2401,1.42359756038814e-21,4.59608472371312e-17,0.429,0.301,"No","NS"
"Srsf5",0.2399,5.07110519340491e-20,1.63720631169078e-15,0.729,0.622,"No","NS"
"Dhrs1",0.2397,5.76159007876093e-34,1.86012935692797e-29,0.302,0.163,"No","NS"
"Sf3a2",0.2396,1.48512313339843e-25,4.79472003617684e-21,0.387,0.254,"No","NS"
"Rad51b",0.2395,3.07438525104004e-14,9.92565278298276e-10,0.304,0.214,"No","NS"
"Gm11808",0.2394,1.41310191891391e-21,4.56219954521355e-17,0.42,0.291,"No","NS"
"Slc35b3",0.2391,1.89183541948244e-27,6.10779065179907e-23,0.262,0.145,"No","NS"
"Med4",0.2389,1.76652703425986e-30,5.70323253010795e-26,0.311,0.178,"No","NS"
"Acat2",0.2389,4.02150549672009e-25,1.29834304961608e-20,0.339,0.215,"No","NS"
"Aopep",0.2386,0.000535038506633837,1,0.679,0.64,"No","NS"
"Exoc5",0.2382,4.45005861813231e-17,1.43670142486402e-12,0.47,0.358,"No","NS"
"Hivep2",0.2379,2.58799180935399e-18,8.35533155649936e-14,0.577,0.45,"No","NS"
"Mboat1",0.2376,5.36619155101792e-22,1.73247494224614e-17,0.3,0.191,"No","NS"
"Itga11",0.2372,4.32205890598586e-83,1.39537671779753e-78,0.138,0.017,"No","NS"
"Tra2a",0.237,1.42062705734686e-15,4.58649445464435e-11,0.603,0.496,"No","NS"
"Mapk3",0.2369,5.84030618755037e-22,1.88554285265064e-17,0.452,0.321,"No","NS"
"Rcbtb2",0.2369,9.26834735850463e-22,2.99228594469322e-17,0.356,0.234,"No","NS"
"Helz",0.2366,2.5783750753436e-28,8.32428393074681e-24,0.296,0.171,"No","NS"
"L3mbtl3",0.2364,3.9288360719347e-16,1.26842472582412e-11,0.473,0.357,"No","NS"
"Tcf7l1",0.2361,1.45286530116155e-17,4.69057562480005e-13,0.27,0.175,"No","NS"
"Zfpm2",0.235,1.24234189155761e-07,0.00401090079689374,0.805,0.774,"No","NS"
"Tmem164",0.2341,2.87703991505293e-15,9.2885233657484e-11,0.321,0.226,"No","NS"
"Gm14164",0.2333,8.01479408048064e-27,2.58757626888317e-22,0.389,0.251,"No","NS"
"Ndufaf8",0.233,7.70110562330335e-26,2.48630195048349e-21,0.364,0.232,"No","NS"
"Tgfb1",0.2329,2.90862645681827e-49,9.39050051583777e-45,0.191,0.065,"No","NS"
"Commd1",0.2326,2.5002611064776e-24,8.07209298226293e-20,0.497,0.355,"No","NS"
"Cmc1",0.2324,1.23572656037756e-36,3.98954320017897e-32,0.226,0.103,"No","NS"
