"Gene","avg_log2FC","p_val","p_val_adj","pct_Male","pct_Female","Significant","Direction"
"1600012H06Rik",-0.0342,0.0319083470298194,1,0.142,0.164,"No","NS"
"Abhd10",-0.0342,0.126494767825246,1,0.165,0.18,"No","NS"
"Fam135a",-0.0342,0.160289160995644,1,0.239,0.249,"No","NS"
"Itsn1",-0.0342,0.187326215090451,1,0.343,0.351,"No","NS"
"Tnpo2",-0.0342,0.198643669484567,1,0.176,0.188,"No","NS"
"Tnks2",-0.0343,0.196007720082002,1,0.534,0.531,"No","NS"
"Dscc1",-0.0343,0.341669582645686,1,0.095,0.102,"No","NS"
"Commd2",-0.0343,0.972683304985082,1,0.344,0.328,"No","NS"
"Gm26827",-0.0344,0.0906568374376079,1,0.102,0.116,"No","NS"
"Pnpla8",-0.0345,0.425073277145033,1,0.21,0.214,"No","NS"
"Phlpp2",-0.0345,0.993595365729077,1,0.236,0.228,"No","NS"
"Taok2",-0.0346,0.272262097091844,1,0.147,0.156,"No","NS"
"Rp2",-0.0346,0.387180245000708,1,0.141,0.148,"No","NS"
"Plpp5",-0.0346,0.524429168753802,1,0.111,0.116,"No","NS"
"Dcun1d2",-0.0347,0.0144983111333113,1,0.088,0.108,"No","NS"
"Ccdc15",-0.0347,0.220166918210018,1,0.094,0.103,"No","NS"
"Pi4k2b",-0.0347,0.593708781829799,1,0.207,0.194,"No","NS"
"S100pbp",-0.0348,0.184378954899324,1,0.178,0.191,"No","NS"
"Gm7072",-0.0349,0.0260794127861959,1,0.087,0.106,"No","NS"
"Ccpg1",-0.0349,0.0568507853656415,1,0.091,0.107,"No","NS"
"Edc4",-0.035,0.247027206644614,1,0.157,0.166,"No","NS"
"Pttg1",-0.035,0.502127569159518,1,0.379,0.377,"No","NS"
"Rrn3",-0.035,0.604858192879234,1,0.247,0.249,"No","NS"
"Cep70",-0.0351,0.209446206394936,1,0.137,0.148,"No","NS"
"Zfp646",-0.0352,0.151580619871311,1,0.107,0.119,"No","NS"
"Thap7",-0.0352,0.217811689528032,1,0.225,0.236,"No","NS"
"Vps51",-0.0352,0.240137640794442,1,0.108,0.118,"No","NS"
"Fancd2",-0.0353,0.0471251413236104,1,0.112,0.13,"No","NS"
"Dtl",-0.0353,0.140546479098454,1,0.287,0.301,"No","NS"
"Rlim",-0.0353,0.355165511866418,1,0.419,0.414,"No","NS"
"Psmb10",-0.0353,0.940062017250508,1,0.202,0.199,"No","NS"
"Gab1",-0.0354,0.0761308274690249,1,0.223,0.238,"No","NS"
"Cks2",-0.0354,0.547037494180245,1,0.652,0.626,"No","NS"
"Mterf3",-0.0354,0.989108220717475,1,0.161,0.158,"No","NS"
"Ncoa3",-0.0355,0.00160199312370644,1,0.114,0.145,"No","NS"
"Pin1",-0.0355,0.689895023103611,1,0.642,0.608,"No","NS"
"Rpn1",-0.0355,0.715904986536517,1,0.438,0.431,"No","NS"
"Slc35a1",-0.0356,0.325352056815211,1,0.205,0.212,"No","NS"
"Usp42",-0.0356,0.369514864190775,1,0.135,0.141,"No","NS"
"Foxj3",-0.0356,0.669629667790549,1,0.257,0.256,"No","NS"
"Tfdp1",-0.0356,0.948212544463776,1,0.426,0.413,"No","NS"
"Gpx8",-0.0357,0.0854224190261133,1,0.49,0.491,"No","NS"
"Slc35e2",-0.0357,0.232997739248207,1,0.106,0.115,"No","NS"
"Mvb12b",-0.0358,0.274062598089955,1,0.268,0.276,"No","NS"
"Ndufv1",-0.0358,0.716372980685492,1,0.53,0.509,"No","NS"
"Atf1",-0.0359,0.903044493302555,1,0.296,0.289,"No","NS"
"Lrrc49",-0.036,0.0829952662954252,1,0.092,0.106,"No","NS"
"Mtmr12",-0.036,0.120250417695429,1,0.181,0.195,"No","NS"
"Xxylt1",-0.036,0.274492275367764,1,0.102,0.111,"No","NS"
"Tent4b",-0.036,0.341853365671684,1,0.268,0.271,"No","NS"
"Nck1",-0.036,0.544147040855868,1,0.353,0.351,"No","NS"
"Clasp2",-0.036,0.820938528108675,1,0.425,0.402,"No","NS"
"Ankrd9",-0.0361,0.0171249393409915,1,0.088,0.109,"No","NS"
"Zfp282",-0.0361,0.225134357371654,1,0.136,0.147,"No","NS"
"Kdm3b",-0.0361,0.41535130703681,1,0.215,0.22,"No","NS"
"Inip",-0.0363,0.207909117575534,1,0.134,0.145,"No","NS"
"Tmem214",-0.0363,0.616449654628924,1,0.168,0.17,"No","NS"
"Mgrn1",-0.0364,0.0799665148524325,1,0.158,0.175,"No","NS"
"Taf5",-0.0364,0.721023241324883,1,0.148,0.147,"No","NS"
"Cnep1r1",-0.0365,0.340188832887969,1,0.268,0.274,"No","NS"
"Pla2g4a",-0.0365,0.585673464699094,1,0.289,0.27,"No","NS"
"Pex19",-0.0365,0.753820746173655,1,0.189,0.189,"No","NS"
"Sumf2",-0.0367,0.355387426703531,1,0.137,0.144,"No","NS"
"Btg3",-0.0367,0.532355318558817,1,0.432,0.4,"No","NS"
"Slc25a13",-0.0368,0.0987883937783656,1,0.279,0.3,"No","NS"
"Fbxl15",-0.0368,0.24601268965435,1,0.095,0.104,"No","NS"
"Ints5",-0.0369,0.142009992865412,1,0.139,0.152,"No","NS"
"Ralgapb",-0.0369,0.169895529125748,1,0.373,0.383,"No","NS"
"Ppp2r1a",-0.0369,0.429441512056101,1,0.522,0.51,"No","NS"
"Parl",-0.0369,0.871411189659911,1,0.401,0.394,"No","NS"
"Prcc",-0.037,0.040731155227321,1,0.133,0.153,"No","NS"
"Dbt",-0.037,0.543527476510416,1,0.148,0.152,"No","NS"
"Ptpn2",-0.0371,0.454094898159637,1,0.235,0.237,"No","NS"
"Zfp719",-0.0371,0.740542597442531,1,0.108,0.11,"No","NS"
"Zfp592",-0.0372,0.147600796025562,1,0.159,0.174,"No","NS"
"Ube2i",-0.0373,0.227889473359378,1,0.741,0.739,"No","NS"
"Pde4dip",-0.0373,0.713991407572611,1,0.158,0.15,"No","NS"
"Ap2a2",-0.0374,0.202248540123124,1,0.658,0.658,"No","NS"
"Suv39h2",-0.0374,0.4318050695123,1,0.124,0.129,"No","NS"
"Itm2b",-0.0375,0.110588074435591,1,0.764,0.758,"No","NS"
"Brms1",-0.0375,0.233817614811401,1,0.173,0.183,"No","NS"
"Rttn",-0.0375,0.301774106228999,1,0.229,0.237,"No","NS"
"Ofd1",-0.0376,0.0244673820168386,1,0.129,0.15,"No","NS"
"Atg16l1",-0.0376,0.308105612445245,1,0.189,0.198,"No","NS"
"Arl6ip5",-0.0376,0.427269224946277,1,0.661,0.645,"No","NS"
"Ighmbp2",-0.0376,0.624962757563716,1,0.12,0.122,"No","NS"
"Magi2",-0.0377,0.0267666896433989,1,0.096,0.115,"No","NS"
"Ccnk",-0.0377,0.174062317271001,1,0.14,0.152,"No","NS"
"Etfdh",-0.0377,0.240899578044736,1,0.156,0.166,"No","NS"
"Cnpy3",-0.0377,0.325160253759441,1,0.232,0.239,"No","NS"
"Hsd17b4",-0.0377,0.691859162675362,1,0.374,0.368,"No","NS"
"Uqcrb",-0.0378,0.0585137108716513,1,0.814,0.812,"No","NS"
"Polg",-0.0378,0.611280439126052,1,0.202,0.203,"No","NS"
"Cog8",-0.0378,0.617673905341927,1,0.2,0.202,"No","NS"
"Rbbp5",-0.0379,0.027405278816734,1,0.085,0.103,"No","NS"
"Zxdc",-0.0379,0.0439213206214143,1,0.116,0.133,"No","NS"
"Nabp1",-0.0379,0.0921777686743067,1,0.098,0.111,"No","NS"
"Pi4k2a",-0.0379,0.172556071533523,1,0.265,0.276,"No","NS"
"Hmgxb3",-0.0379,0.511027668709027,1,0.213,0.215,"No","NS"
"Icmt",-0.038,0.00227446984399813,1,0.095,0.121,"No","NS"
"Vps45",-0.038,0.037688590679581,1,0.112,0.131,"No","NS"
"Fbxo21",-0.038,0.14407378512579,1,0.097,0.109,"No","NS"
"Vps13c",-0.038,0.246952323174306,1,0.142,0.152,"No","NS"
"Zfp26",-0.0381,0.1631044766347,1,0.142,0.153,"No","NS"
