"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBFOX3",9.76611919653241e-70,-0.499261589878022,0.406,0.567,3.57449728712283e-65
"KLHL29",1.92181330564008e-69,0.580436419809459,0.753,0.673,7.03402887997324e-65
"SIPA1L2",2.19572962909092e-69,-0.369446472027648,0.126,0.291,8.03659001543568e-65
"CACNB2",4.24439982085579e-69,-0.573773046261036,0.496,0.638,1.55349277843143e-64
"SLCO3A1",5.53782943244773e-69,0.589851316796092,0.681,0.545,2.02690095057019e-64
"KCNN2",1.10971064665699e-68,0.683675710348066,0.488,0.31,4.06165193782926e-64
"ATXN1",2.21428406231004e-68,-0.401976448345007,0.827,0.899,8.10450109646097e-64
"BCL6",3.57118074656857e-68,-0.555016633446625,0.214,0.38,1.30708786505156e-63
"TCF4",4.99075806544604e-68,-0.254225411947703,0.959,0.983,1.82666735953391e-63
"KCNT2",9.89778314543143e-68,-0.531978121462765,0.58,0.722,3.62268760905936e-63
"KCTD16",9.97150359982722e-68,-0.6730921690495,0.455,0.607,3.64967003257276e-63
"PLS1",1.30115569720523e-67,0.35232443822099,0.244,0.081,4.76235996734085e-63
"PLPP4",1.45516426946228e-67,0.434455581815509,0.271,0.102,5.3260467426589e-63
"NBPF12",5.05207546882297e-67,-0.423957675470771,0.142,0.297,1.8491101423439e-62
"ANKH",7.15838639538897e-67,-0.521267681736309,0.616,0.714,2.62004100457632e-62
"FTX",5.55044873820803e-66,0.27670112304686,0.973,0.98,2.03151974267152e-61
"PRSS51",6.32401327046851e-66,0.346535587100389,0.234,0.076,2.31465209712418e-61
"SYNE1",1.39508622030816e-65,-0.679679983780612,0.668,0.754,5.10615507494989e-61
"RRAS2",1.55434725592957e-65,0.512106744533354,0.377,0.192,5.68906639142783e-61
"GCNT1",2.21348935721511e-65,0.38462673572433,0.221,0.069,8.10159239634301e-61
"MARCKSL1",5.37809417131529e-65,-0.428580339558696,0.384,0.543,1.96843624764311e-60
"RFX3",9.72315310820617e-65,0.48546295366407,0.865,0.843,3.55877126913454e-60
"KLHL32",1.46103953775022e-64,-0.640297625627807,0.321,0.49,5.34755081211958e-60
"MEG8",6.34737164311052e-64,0.561096874933833,0.547,0.357,2.32320149509488e-59
"ELMO1",7.86262996223593e-63,0.628016624443076,0.58,0.376,2.87780119247797e-58
"MASP1",6.84649753846933e-62,0.411973168325039,0.35,0.171,2.50588656405516e-57
"PRICKLE2",8.07432765422364e-62,0.523590066455733,0.758,0.717,2.95528466472239e-57
"FOXG1",1.13028057540765e-61,-0.501778945248991,0.383,0.532,4.13693993404954e-57
"LUZP2",4.46270932688247e-61,-0.833588769767849,0.54,0.666,1.63339624073225e-56
"HSPA8",6.33405881675594e-61,-0.428636441860635,0.188,0.343,2.31832886752084e-56
"KCNQ3",7.01151709494924e-61,0.45997094710849,0.797,0.783,2.56628537192237e-56
"ADCY2",8.49609303146219e-61,0.50536310427287,0.524,0.329,3.10965501044548e-56
"YBX1",1.80979439916891e-60,0.602506915882619,0.547,0.381,6.62402848039814e-56
"RPL38",1.311487809804e-59,0.545958420966893,0.488,0.314,4.80017653266361e-55
"RPL23",1.7815961692258e-59,0.631843417515163,0.598,0.461,6.52082013898336e-55
"GAREM1",1.80637912012731e-59,0.583575677939135,0.673,0.544,6.61152821757797e-55
"CADM1",2.65463322219327e-59,0.528728585601262,0.839,0.786,9.71622305654958e-55
"MAN1A1",4.89889691146103e-59,0.375712308266325,0.28,0.116,1.79304525856385e-54
"RPL31",7.03518245904395e-59,0.612922946304983,0.561,0.403,2.57494713183468e-54
"PRSS12",8.89456955435739e-59,-0.713980838289424,0.179,0.331,3.25550140259035e-54
"VWC2",1.00720954536911e-58,0.496983032257308,0.257,0.102,3.68648765700549e-54
"BCL2",1.08677617194202e-58,-0.366245997892554,0.23,0.415,3.97770946692498e-54
"SORCS2",1.18621208164863e-58,0.410922660804907,0.372,0.19,4.34165484004214e-54
"ARAP2",1.55008579350936e-58,-0.358424981766145,0.178,0.335,5.6734690128236e-54
"LRRN1",7.81093178517537e-58,0.455336672231446,0.492,0.298,2.85887914269204e-53
"ANO4",1.20909094388702e-57,0.487851818372726,0.773,0.718,4.42539376372089e-53
"NREP",1.22032286487907e-57,-0.408481581216998,0.457,0.597,4.4665037177439e-53
