SYMBOL,log2FoldChange,pvalue,padj,kd3_male_sig
Ccdc184,-0.710354765682139,0.0324827432733022,0.18726831930658,Down after KD
Nckap5l,0.540759760021997,0.0313062659405042,0.182567899068876,Up after KD
Csad,0.613440301698058,1.37007804441484e-6,6.51138373159721e-5,Up after KD
Slc25a1,0.733158732991879,6.21666931253269e-10,7.07031076185817e-8,Up after KD
Dgkg,0.800848628436953,0.00476549664972759,0.0513040544449376,Up after KD
St6gal1,0.543642521626467,2.86486143037257e-7,1.62551652893742e-5,Up after KD
Mb21d2,-0.801639563955549,0.012281433979057,0.0991159849645082,Down after KD
Tmem44,0.883280265995829,0.00610360705312293,0.0609319695132676,Up after KD
Mylk,1.28124371689538,4.07679563577862e-4,0.00776336374409144,Up after KD
Jam2,-0.712642378159659,2.1454834834877e-4,0.00472473699403302,Down after KD
Prdm15,-0.663328780814234,0.0174517364029599,0.123773625169587,Down after KD
3300005D01Rik,-0.776267902841513,0.0330316608221991,0.189257802906028,Down after KD
Zfp946,-2.29832614604477,0.0284611650294291,NA,Down after KD
H2-K1,0.519705539625116,3.17856825749434e-7,1.7851198103292e-5,Up after KD
Cdsn,1.31912939846589,8.36995202262725e-12,1.31101741469912e-9,Up after KD
Trerf1,0.69715787624175,0.00733877734728804,0.0686991101676686,Up after KD
Daam2,2.36001217990873,0.0279686852842005,NA,Up after KD
Rasgrp3,-1.6598928191861,0.0217492257768917,0.14386699746646,Down after KD
Mta3,0.550033103873435,4.95874242680385e-7,2.65125839079258e-5,Up after KD
Epas1,0.61095195967535,0.0380485763196293,0.206862581841156,Up after KD
Mettl4,-0.669785979141946,0.0151217143166573,0.113397562316619,Down after KD
Ankrd29,0.968403373585537,0.0117742569817534,0.095857622177218,Up after KD
Egr1,-4.2842773175438,3.69548018278351e-172,4.10974351127354e-168,Down after KD
Hbegf,-0.549990329870277,1.4706621970525e-7,9.13700239855911e-6,Down after KD
Sh3rf2,1.65272740575494,6.92316976922428e-4,0.0117009986327573,Up after KD
Synpo,0.966231867301086,4.18041300897695e-4,0.00789008317192362,Up after KD
Ccbe1,-0.95101685671996,5.86239784914219e-8,4.02442756051298e-6,Down after KD
Dynap,-1.07465639708948,0.0234136351490728,NA,Down after KD
Syt12,-1.28806755346542,2.99659659985764e-4,0.00612594683584869,Down after KD
Cst6,-0.508561660489351,0.0219699307699948,0.144741105532049,Down after KD
Nrxn2,0.527393153371995,0.0161002685785439,0.117351587627373,Up after KD
Ccdc88b,0.932898810690951,0.0448683361395859,0.228157643442311,Up after KD
Vegfb,0.508038533392798,1.26590980822299e-11,1.92851821606134e-9,Up after KD
Fads2,0.600193255071127,0.00237045395056196,0.0313085729028499,Up after KD
Fads1,0.587461834231059,6.09437761855244e-22,2.82398222899674e-19,Up after KD
Prune2,1.01863096281164,0.0225699526015638,0.147473820729724,Up after KD
Vldlr,1.65278304722804,4.73673285622131e-16,1.1451566542182e-13,Up after KD
Scd2,1.08648208897437,8.30573064691284e-74,1.84736061048635e-70,Up after KD
Scd1,1.04371451611017,6.12391718346427e-9,5.77153245739883e-7,Up after KD
Kazald1,0.847813820217369,0.00568735276348921,0.0578183271218963,Up after KD
Dusp5,-0.734912893895089,8.02940611720396e-37,9.92166949215836e-34,Down after KD
Afap1l2,1.43230600328136,0.00206156790848646,0.0281352645860039,Up after KD
Ablim1,0.818535001009873,3.9652345921717e-5,0.00117280249732823,Up after KD
Shtn1,0.83836262137449,4.80183991000921e-4,0.00869727388260789,Up after KD
Optn,0.787215889555528,2.39867411912343e-4,0.00512794218650545,Up after KD
Abca2,0.764012876022882,2.40169776845837e-5,7.8556708479487e-4,Up after KD
Ralgds,0.503540919240848,0.00134427708126984,0.0200473943305479,Up after KD
Prrx2,0.552873223212992,1.13378273232415e-13,2.33496254929201e-11,Up after KD
Lypd6,-1.06046167622826,0.0425140325162032,0.221377970138767,Down after KD
Nmi,0.712892253462272,0.0117255544135569,0.0956010928395648,Up after KD
Tnfaip6,-0.662218891966412,0.0490782865223651,0.240334488954303,Down after KD
Sp3os,0.714993875666452,0.00572012514956804,0.0579980573150143,Up after KD
Ttc17,-0.517447463164704,0.00239549705547569,0.0314154749456901,Down after KD
Dusp2,-0.580043731516872,2.0858151471937e-4,0.0046116004477020096,Down after KD
Zc3h6,1.0691540051454,0.0118412352207598,0.0963323898244841,Up after KD
Slc4a11,1.04607704137206,0.00379968599459201,0.0431600696878486,Up after KD
Plcb1,1.1126478546732,0.0119350032308706,0.0969908160024726,Up after KD
Macrod2,0.627866775206841,0.0235989709835511,0.151439213103331,Up after KD
Trib3,1.88554191420615,8.48196955296081e-21,3.49362901475841e-18,Up after KD
Nfatc2,1.15861853372854,0.0129695710465577,NA,Up after KD
Tcea2,0.640649224275973,0.0498151021180072,0.242554181547442,Up after KD
Hps3,0.556101355148893,0.0090976615782459,0.0794033183501918,Up after KD
Sox2ot,0.73989747612402,0.0231259743039316,0.149525558275595,Up after KD
Jade1,-0.552493356571996,5.06650158003128e-6,2.01230585969742e-4,Down after KD
Slc7a11,0.579999198117354,0.00477723858710413,0.0513807256549179,Up after KD
S100a16,1.02399633803943,0.00215142463553229,0.0288961272605731,Up after KD
S100a7a,-0.517627253165239,2.78049138514333e-11,4.015823986257e-9,Down after KD
Sprr3,2.7673132242061,0.0115447179616744,NA,Up after KD
Gstm1,0.755888397400444,7.70942118205717e-11,1.04556674348363e-8,Up after KD
Vav3,0.976135798441391,0.0157248099941159,0.115429446828095,Up after KD
Cdc14a,0.572838197744761,0.0485383411842709,0.238644825859453,Up after KD
Synpo2,1.34259687235539,3.52132651577997e-5,0.00107289512827367,Up after KD
Lef1,-1.04011334785601,2.39936179184481e-5,7.8556708479487e-4,Down after KD
Ddit4l,0.554030148254807,0.0232004083022527,0.149832602049566,Up after KD
Miga1,0.792689901592475,0.00651462675402085,0.0634787302867971,Up after KD
1700123M08Rik,1.60537341350059,0.0455632939457827,NA,Up after KD
Rmdn1,0.711853773135037,0.00174940976281638,0.0247351124636254,Up after KD
Pnrc1,0.552806623517547,9.81316106580814e-8,6.38199790718434e-6,Up after KD
Nr4a3,-2.23541229688214,0.0389845289340136,NA,Down after KD
Abca1,0.877360072707681,1.89714246854295e-4,0.00426224674599316,Up after KD
Ctnnal1,0.513288651100112,5.11632977517827e-8,3.55616896435985e-6,Up after KD
Rgs3,-0.828769598931046,0.0447599162905496,0.227966834875178,Down after KD
Pappa,0.880254976941311,0.0453622630954405,0.229004803241513,Up after KD
Tesk2,0.548691698373905,0.00591736006981388,0.0596077548336958,Up after KD
Btbd19,-0.543096173263973,0.00334017521847165,0.0395591997919311,Down after KD
Azin2,0.810024683700931,0.0068408963662613,0.0652466625121715,Up after KD
Ccdc28b,0.766975456762415,0.00208230756316794,0.0283443603549457,Up after KD
Arhgef19,0.554316931649587,0.00244432951574521,0.0317434592687631,Up after KD
Isg15,1.12327701371035,0.00457611554761215,0.0496982236376902,Up after KD
Magi2,0.923903368945368,0.0447813727653226,0.227966834875178,Up after KD
Insig1,1.00343265700382,3.12702657803968e-22,1.58071193519906e-19,Up after KD
Mapre3,0.632811801345913,4.79964269680319e-8,3.42159143789412e-6,Up after KD
Khk,0.92455703495491,4.59713436384144e-5,0.00132447490311608,Up after KD
Plb1,1.03471189854045,0.00130605469147282,0.0196544441459666,Up after KD
Hopx,1.90527833270534,1.23714907019276e-6,5.98188469983202e-5,Up after KD
Igfbp7,-0.804815374016421,2.94863846455473e-13,5.7529488358444e-11,Down after KD
Rufy3,0.508234175624416,0.0152832502054342,0.113933457909338,Up after KD
Slc4a4,-0.545048132617019,0.00377758501697538,0.0430877158705469,Down after KD
Rassf6,-1.65618347225715,0.00763586391165235,0.0708243891255094,Down after KD
Ereg,-0.671588795649583,3.16165409512399e-9,3.1393531421316e-7,Down after KD
Areg,-0.745015106709276,1.74200236511806e-17,4.8432020756195e-15,Down after KD
Ccng2,0.752094617330639,0.00238183877748373,0.031356855515897,Up after KD
Spp1,-0.81658410055501,1.17163871507105e-118,6.51489707515258e-115,Down after KD
Trpv4,0.500652585721038,0.0176879789678435,0.124735582816352,Up after KD
Col1a2,0.508102629679816,3.38013834555896e-34,3.41731986736011e-31,Up after KD
Cftr,0.843310651421205,0.0455508925465574,0.229445272384416,Up after KD
Ccdc136,0.764397484848226,2.88590790420184e-4,0.00594336700048678,Up after KD
Mindy4,0.893620213166391,0.00830029922059164,0.0745736633565793,Up after KD
M1ap,-1.03850514048254,0.0124670315889176,0.10010531285224,Down after KD
Gata2,-0.829796123841711,0.0128419760175199,0.102024388625488,Down after KD
Nup210,0.80725548619691,0.0305296805445584,0.179640517109013,Up after KD
Hdac11,2.0244414463254,0.0363066612734877,NA,Up after KD
Lpcat3,0.63078926536311,1.28584188120416e-7,8.07900992139627e-6,Up after KD
Zfp324,-0.528983883373959,0.00980800104642232,0.0837104985704241,Down after KD
Plaur,-0.594714775779961,1.72922639607182e-10,2.13674741674608e-8,Down after KD
Ppp1r14a,2.43977264964223,0.0456278150336841,NA,Up after KD
Kctd15,0.568173676591722,0.00400209339369786,0.0447759362488068,Up after KD
Fcgrt,1.26683914891298,4.87316630182345e-8,3.45187786258462e-6,Up after KD
Gas2,0.783810336241711,0.00513834967221266,0.0538582344059161,Up after KD
Arnt2,0.574667012915275,2.72125163246832e-5,8.62194854834193e-4,Up after KD
Me3,1.05146480211858,0.0331004796464454,0.1894546753207,Up after KD
Capn5,1.74996412045307,2.23662449707952e-5,7.35902397397082e-4,Up after KD
Ppfibp2,-1.20454223915185,5.42215314993125e-4,0.00966342390711304,Down after KD
Bnip3,0.535928003200058,3.26863988633638e-8,2.57805277843595e-6,Up after KD
Ifitm1,3.29455224150297,3.42762481267201e-4,0.00675861977690168,Up after KD
Ifitm10,-0.525869891817953,0.00738528192669993,0.0689024499218372,Down after KD
Tnfrsf23,-0.522479899028874,0.0243158027509978,0.154186250899993,Down after KD
Dhcr7,0.673479324059317,2.3199070459528e-6,1.01573567945044e-4,Up after KD
Ap3m2,0.875032365377215,0.00779446902524132,0.0717845382154161,Up after KD
Rnf122,0.821718758434627,0.00290464968995569,0.0356934908309361,Up after KD
Msmo1,0.55474180486008,7.82507872184925e-20,2.90075668218952e-17,Up after KD
Psd3,0.568992467106392,0.0217930098539695,0.14386699746646,Up after KD
Hmox1,-0.729573107199294,1.42897985767565e-21,6.35667399888438e-19,Down after KD
Gpt2,0.758988978670638,9.03136603099453e-12,1.3949697448707e-9,Up after KD
Adgrg1,0.797230894578375,0.0141989130900383,0.108452000325766,Up after KD
Rrad,-0.781707649414142,5.7871451101952e-5,0.00161705630076585,Down after KD
Wwox,0.561306766577442,0.026187136636682,0.162333972428395,Up after KD
A330074K22Rik,1.75106417307493,0.0118748638198386,NA,Up after KD
Nrp1,-0.60359084536759,5.49241629703792e-14,1.19766983606586e-11,Down after KD
Casp1,2.05048842052915,0.0231790304489881,NA,Up after KD
Casp12,0.569164738141677,3.74557061927281e-4,0.00728225364631694,Up after KD
Ldlr,0.53720985761683,3.76403255555141e-16,9.30217912228605e-14,Up after KD
Rab3d,1.14827982783137,2.71988455954518e-4,0.0056327441688458,Up after KD
Vwa5a,0.68247437750995,9.02897591765161e-5,0.00230830439494721,Up after KD
Sorl1,1.22102132753804,4.07220140143337e-8,3.03939273727118e-6,Up after KD
Sc5d,0.522286786921106,2.56136921504932e-8,2.04927964320601e-6,Up after KD
Pts,0.70256075694075,0.0127803994604587,0.10195898307013,Up after KD
Dixdc1,0.820315486548307,0.00100895615745164,0.0159157467049925,Up after KD
Zc3h12c,-0.591014740991656,0.0439929214992485,0.225979344107687,Down after KD
Crabp1,1.01067839679965,2.53452030418375e-78,7.04660007570687e-75,Up after KD
Cd276,0.622277242686076,0.0263168396075285,0.162759551922912,Up after KD
Thsd4,3.195946110096,0.00335387683133849,NA,Up after KD
Coro2b,1.0411919896083,2.36059542446136e-4,0.00506798874815342,Up after KD
Itga11,0.847913491471962,2.07940497896576e-10,2.54121568912947e-8,Up after KD
Cgnl1,-0.597864736118488,1.62181597480585e-5,5.67953986118897e-4,Down after KD
Myo6,0.502799032561391,0.00715251017906186,0.0673522994930965,Up after KD
Slc9a9,1.47960488989106,0.0495552315751578,0.24160619480374,Up after KD
Pxylp1,0.83838953552625906,0.00961835609885451,0.0826628579407736,Up after KD
Plcd1,0.58217486647712,0.00315220774018613,0.0378571298905075,Up after KD
Scn5a,-0.829695123040251,0.00306879513074619,0.0371360942862115,Down after KD
Fgf13,0.544341460213729,0.0138147248349697,0.106764110416746,Up after KD
Nsdhl,0.734730092685975,5.52979607658054e-11,7.68710777095652e-9,Up after KD
Abcd1,0.547448339293051,9.21358311846279e-5,0.00235009765734919,Up after KD
Arhgef9,1.30821973755833,0.0104613072462537,0.0875244300077282,Up after KD
Ar,0.862971097316251,0.0352033928204352,0.197526201592361,Up after KD
Rps6ka3,-0.534395905466242,3.06533455430607e-5,9.52223060850219e-4,Down after KD
Tceanc,0.724048053152029,0.0395602486184715,0.212164135096382,Up after KD
