SYMBOL,log2FoldChange,pvalue,padj,kd3_female_sig
Cdk5r1,-0.604988974311238,0.037263927910114,0.159737090153248,Down after KD
Ccl2,-0.997331059217791,3.60548028280984e-5,7.23789454396325e-4,Down after KD
Bcas3,0.50597018446311,0.00108178821767027,0.0114615267793309,Up after KD
Cyb561,0.894263327143454,0.00665588198272367,0.0461308022061692,Up after KD
Cd300lb,-2.12251626303844,0.0469208750255566,NA,Down after KD
B3gntl1,-0.731260234282,0.0416430159581869,0.1713283940305,Down after KD
Metrnl,-0.506157634491606,2.02980474171414e-13,2.8916158151841e-11,Down after KD
Trib2,0.574322965182749,2.56343425075406e-7,1.0036439265204e-5,Up after KD
Lpin1,0.671551288795877,0.0222935434441715,0.111979123909891,Up after KD
Pole2,-0.569849751713852,2.51274097827215e-4,0.00357277798332628,Down after KD
Slc38a6,0.595220890147366,8.46728902544601e-5,0.00147883641708824,Up after KD
Kcnh5,1.12478256576272,0.0319126789550896,0.143801644803727,Up after KD
Acot2,0.513493674784879,0.0478577674174807,0.187809572500595,Up after KD
Fos,1.090485893825,5.63593893117202e-5,0.00106782268589408,Up after KD
Ifi27l2a,1.56813760006298,1.08269639697934e-4,0.00181072166872471,Up after KD
Zfp839,0.84330870294672,0.0360369103319254,0.156252448758594,Up after KD
Nid1,-0.585649149962124,2.95317478266894e-4,0.00406224426749033,Down after KD
Carmil1,0.707733035512265,0.0017417129924275,0.016697710362738,Up after KD
Gfod1,-0.675551247842193,0.021795947448333,0.110228948943152,Down after KD
Rnf182,0.659442764559266,8.62903886214439e-4,0.00963453781926301,Up after KD
Jarid2,0.605115203656432,4.74257845558061e-4,0.00597722764386295,Up after KD
Tgfbi,2.36373049742481,0.0473181640625487,0.18655884357305,Up after KD
Gas1,0.501793205483849,1.43754166413548e-7,6.09229126764798e-6,Up after KD
Ptch1,0.508435661996868,0.00500691257377814,0.0370804341494048,Up after KD
Erap1,0.691560225218874,0.0245181389872802,0.119399701559144,Up after KD
Glrx,0.631676330299824,1.73475307264061e-23,6.6166839777105e-21,Up after KD
Arrdc3,0.647781787215967,6.47478300127436e-4,0.00774876864444008,Up after KD
Polr3g,-0.860333694988921,1.19445518632946e-4,0.00194803284457373,Down after KD
Mef2c,0.846823077833315,0.0139395951168237,0.0799574694334903,Up after KD
Foxd1,-0.700465775883913,0.0067057251559187,0.0464218350372264,Down after KD
Ankrd55,-0.968946031805131,0.0343648777105988,0.151220809099412,Down after KD
Kat6b,0.590528713616665,0.0491322295700252,0.190920347188296,Up after KD
Zcchc24,0.530122965015343,3.69872077246061e-6,1.04516341758702e-4,Up after KD
Wdhd1,-0.593335078055385,0.0166597070223695,0.091238710436543,Down after KD
Irf9,0.647099803141674,0.00716775311930317,0.0487077660245061,Up after KD
Kif13b,1.97891119412965,0.0432071727153982,NA,Up after KD
Klf5,-0.560089210057721,3.90989101051616e-5,7.73086142279985e-4,Down after KD
Abcc4,-0.760367931982601,0.00850020844844269,0.0554365497486963,Down after KD
Uggt2,0.643449611506425,0.0175243726172871,0.0946588313507552,Up after KD
Clybl,0.500983206912354,0.00532208015814508,0.038748938294278,Up after KD
Selenop,1.0969333022722,7.83083565486429e-9,4.70009141031042e-7,Up after KD
Ptger4,-0.821048854143879,0.00124303507211695,0.012749978231741,Down after KD
Cpq,0.782690366791554,1.69943060396212e-5,3.83474569871147e-4,Up after KD
Angpt1,0.854047821766336,1.45365584245819e-4,0.0022953521733505,Up after KD
