"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZNRF2",3.63316651651999e-45,0.297203512600166,0.308,0.151,1.32977527671148e-40
"DENND5A",4.0166818437155e-45,0.319331338823938,0.478,0.291,1.47014572161831e-40
"CLASP2",4.39047276485018e-45,0.317858179144356,0.743,0.557,1.60695693666282e-40
"MPPED2",4.85939626912869e-45,0.45343809209488,0.408,0.245,1.77858762846379e-40
"GRID1",5.02107426293498e-45,0.363091553713805,0.581,0.409,1.83776339097683e-40
"POU6F2",5.17136784395263e-45,0.464662738616989,0.23,0.101,1.8927723445651e-40
"SMURF1",6.21323290675144e-45,0.30790191466912,0.408,0.233,2.27410537620009e-40
"APBB2",6.28651473214005e-45,0.266221759354548,0.524,0.331,2.30092725711058e-40
"ABCA10",7.1276411130962e-45,0.539502052609405,0.131,0.033,2.60878792380434e-40
"PHF20L1",8.1757023277803e-45,0.253689544372514,0.443,0.26,2.99238880899087e-40
"ARHGAP12",8.76617988721089e-45,0.332362758112435,0.436,0.258,3.20850950051806e-40
"RMST",9.77460936441902e-45,0.497757835324259,0.159,0.053,3.57760477347101e-40
"LAMC1",1.03083062539165e-44,0.341342053731998,0.216,0.089,3.77294317199597e-40
"USP48",1.05686337052367e-44,0.264316063481418,0.393,0.22,3.86822562245369e-40
"TFRC",1.06597120175745e-44,0.371656448625487,0.182,0.066,3.90156119555245e-40
"HSD17B4",1.10975870365715e-44,0.332596328810668,0.396,0.224,4.06182783125554e-40
"MAGI2",1.16386972890276e-44,0.471076892694823,0.764,0.612,4.25987959475699e-40
"CDK17",1.36778946539618e-44,0.263801992757239,0.424,0.247,5.00624622229656e-40
"ABLIM3",1.83410665808513e-44,0.328265053089171,0.25,0.115,6.71301377925737e-40
"C4orf19",1.84022830628107e-44,0.354623566053621,0.282,0.143,6.73541962381936e-40
"PTPRM",1.84428797362959e-44,0.383597606885994,0.56,0.376,6.75027841228167e-40
"DMGDH",1.87719065156934e-44,0.330515696524672,0.215,0.09,6.87070550380895e-40
"PRTFDC1",1.9680289998652e-44,0.251422703277804,0.325,0.169,7.2031829424066e-40
"LMBR1",1.96974072792237e-44,0.34916133242142,0.393,0.223,7.20944803826867e-40
"ZNF462",2.04444256956366e-44,0.355752727427393,0.436,0.266,7.48286424885995e-40
"RIMKLB",2.20554475804453e-44,0.628673677210464,0.355,0.193,8.0725143689188e-40
