"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LRFN2",2.03084739691687e-39,0.638082720519155,0.293,0.162,7.43310455745545e-35
"CAMKK2",2.04231541864767e-39,0.454142833009419,0.187,0.075,7.47507866379232e-35
"CMYA5",2.17164231059981e-39,-0.28920058832013,0.065,0.188,7.94842802102638e-35
"DCTN1",2.18710503849482e-39,0.386593363761645,0.188,0.076,8.00502315139487e-35
"ZNF720",2.57592718813511e-39,-0.259142750146751,0.144,0.293,9.4281511012933e-35
"HECTD2",2.58101862045821e-39,0.680776215717548,0.463,0.333,9.44678625273908e-35
"LRRK1",2.91001698727402e-39,0.519367777086239,0.201,0.08,1.06509531751217e-34
"LNPEP",3.27863292274157e-39,-0.30614650875473,0.239,0.407,1.20001243605264e-34
"COX4I1",3.8624673374002e-39,0.528548120202063,0.296,0.163,1.41370167016185e-34
"SCARB2",4.11049629332199e-39,-0.325011535894432,0.253,0.419,1.50448274831878e-34
"BAIAP2",4.19398605435093e-39,0.405638829525124,0.174,0.066,1.53504083575298e-34
"RPS28",4.20963595636348e-39,0.527162153794547,0.429,0.292,1.5407688563886e-34
"MAGEH1",4.3619067279279e-39,0.28169320549574,0.157,0.055,1.59650148148889e-34
"PLPPR5",4.3782200682255e-39,0.53656226255553,0.393,0.242,1.60247232717121e-34
"STX16",5.08936047209457e-39,-0.25925007546839,0.278,0.454,1.86275682639134e-34
"ASTN1",5.23968559595784e-39,-0.384389679485789,0.559,0.689,1.91777732497653e-34
"AHCTF1",5.26872004962275e-39,-0.286125298568123,0.253,0.422,1.92840422536242e-34
"PER1",5.55456448961935e-39,-0.290241126552755,0.081,0.207,2.03302614884558e-34
"ARHGEF10L",5.630175684811e-39,-0.273786090915764,0.134,0.28,2.06070060239767e-34
"SNHG6",5.99120848416537e-39,0.444982313242081,0.251,0.124,2.19284221728937e-34
"ACAT2",6.50470750152678e-39,-0.267269947908829,0.034,0.135,2.38078799263382e-34
"OSBPL10",6.57265785961834e-39,0.457931991833379,0.261,0.127,2.40565850319891e-34
"CRIM1",7.21139317648877e-39,-0.708346612474474,0.249,0.419,2.63944201652665e-34
"SHROOM3",7.61679645009868e-39,-0.823927951387198,0.242,0.371,2.78782366870062e-34
"RSPH3",7.76147134324922e-39,0.58219428482218,0.199,0.083,2.84077612634265e-34
"RBMS2",8.61179452809544e-39,-0.334082664382507,0.077,0.202,3.15200291522821e-34
"CRY1",1.03053996809261e-38,-0.297659591940191,0.12,0.262,3.77187933721574e-34
"SLX4IP",1.10078467940009e-38,-0.404117313147856,0.21,0.369,4.02898200507228e-34
"CACUL1",1.1424159255101e-38,-0.331957842435845,0.258,0.422,4.18135652895952e-34
"DPYSL5",1.23769541615982e-38,0.630630199526633,0.312,0.175,4.53008899268655e-34
"TPM3",1.30018853404107e-38,0.481739923562674,0.261,0.131,4.75882005344373e-34
"BAZ1A",1.32754177331976e-38,-0.277526185641667,0.112,0.251,4.85893564452764e-34
"COLEC12",1.42964447298273e-38,-0.928680171078019,0.03,0.128,5.23264173556408e-34
"TUBB2A",1.52460541944058e-38,0.508821981798684,0.249,0.124,5.58020829569447e-34
"SYNE1",1.56651349121056e-38,0.764765496800738,0.69,0.652,5.73359602917976e-34
"ABCD2",1.65234681133168e-38,-0.353843256590538,0.14,0.277,6.04775456415507e-34
"VAPA",1.72987862454892e-38,-0.275646865114738,0.364,0.541,6.3315287537115e-34
"ERICH3",1.94787116424235e-38,0.428581614375836,0.169,0.063,7.12940324824341e-34
"PTCH2",1.95141071917227e-38,0.318931441810031,0.149,0.05,7.14235837324242e-34
"AKT3",2.08416648176357e-38,-0.295856084690279,0.713,0.861,7.62825773990283e-34
"C1QTNF4",2.15340749105069e-38,0.422764660732838,0.19,0.078,7.88168675799462e-34
"RTN4R",2.46729172712542e-38,0.296147766452368,0.106,0.025,9.03053445045176e-34
"VEGFC",2.80247708809597e-38,-0.327152620311999,0.028,0.124,1.025734639014e-33
"TAGLN3",3.11919853677369e-38,0.316434721598058,0.188,0.078,1.14165785644454e-33
"THSD7B",3.71832213498942e-38,0.464687301591309,0.133,0.04,1.36094308462748e-33
"PELI1",3.90130149247107e-38,-0.533427205579207,0.245,0.404,1.42791535925934e-33
"AR",4.99264027892111e-38,-0.379766926267665,0.057,0.169,1.82735626848791e-33
"CPE",5.02908224911802e-38,-0.65826971121696,0.453,0.575,1.84069439399969e-33
"ATP11C",5.62111522470151e-38,-0.262733407548839,0.13,0.276,2.057384383393e-33
"COX16",5.88330303457847e-38,0.385362957101675,0.218,0.1,2.15334774368607e-33
"CFAP46",6.01611920509764e-38,0.638900066783617,0.114,0.03,2.20195979025779e-33
"MMD",8.4522292919952e-38,0.348398886955501,0.148,0.051,3.09360044316316e-33
"FAM78B",8.82623348558255e-38,0.380259327477329,0.195,0.082,3.23048971805807e-33
"MPZL1",9.72058660003286e-38,-0.344775756962609,0.245,0.41,3.55783190147803e-33
"FBXL4",1.01037143642948e-37,-0.270525869345209,0.244,0.406,3.69806049447554e-33
"CORO1C",1.06442513285563e-37,-0.333829705525955,0.21,0.364,3.8959024287649e-33
"NTRK3",1.08460089666125e-37,-0.299419837933099,0.533,0.69,3.96974774186985e-33
"LARP4B",1.11427157265447e-37,-0.31895200600443,0.321,0.497,4.07834538307263e-33
"VPS45",1.14956001018594e-37,-0.282093471100523,0.302,0.471,4.20750459328155e-33
"SLC30A7",1.43867112999178e-37,-0.358555957998858,0.218,0.372,5.26568020288293e-33
"DOCK7",1.44961927547134e-37,-0.683715326601377,0.443,0.541,5.30575151015267e-33
"SETX",1.82446020042811e-37,-0.252598780938915,0.295,0.475,6.67770677958691e-33
"BCL11B",2.23060871112958e-37,0.371690468171265,0.18,0.073,8.16425094360539e-33
"HSDL2",2.26868818480772e-37,-0.285826587605039,0.078,0.202,8.30362562521474e-33
"ANO3",2.39630587179185e-37,0.493865819586159,0.237,0.114,8.77071912134536e-33
"CNOT6L",2.51120242616939e-37,-0.783362257272375,0.298,0.456,9.19125200002257e-33
"EIF2AK2",2.79554281228287e-37,-0.27860836484483,0.217,0.372,1.02319662472365e-32
"NPTN",3.13092239385548e-37,0.604499531748546,0.443,0.323,1.14594890537505e-32
"CEP192",3.50925984173429e-37,-0.258351719466848,0.306,0.473,1.28442419467317e-32
"SEMA5B",3.60939498624397e-37,-0.341513564833309,0.124,0.258,1.32107465891516e-32
"SND1",4.99384578621404e-37,-0.289078078111315,0.361,0.538,1.8277974962122e-32
"DUSP26",5.32101866609644e-37,0.313629860119701,0.103,0.025,1.94754604197796e-32
"HCFC1R1",5.50433822528754e-37,0.337516889363284,0.136,0.044,2.01464283383749e-32
"SEL1L3",5.76295034721656e-37,-0.296034843799631,0.24,0.399,2.10929745658473e-32
"TMEM63C",6.50618137438152e-37,0.433564318740003,0.169,0.066,2.38132744483738e-32
"DAP",7.61755613862374e-37,-0.288847787104084,0.059,0.172,2.78810172229768e-32
"NRSN1",7.71331491981618e-37,0.533666949712801,0.296,0.166,2.82315039380192e-32
"C5orf56",8.56032397057529e-37,-0.250543118560806,0.093,0.222,3.13316417647026e-32
"UACA",9.20918615050471e-37,-0.457714542545058,0.066,0.182,3.37065422294623e-32
"NDUFA4",1.03080628248265e-36,0.592218754044406,0.314,0.19,3.77285407451476e-32
"HLA-E",1.22250529692977e-36,-0.40490254042213,0.018,0.104,4.47449163729266e-32
"VRK2",1.27301085351931e-36,-0.395740714490717,0.05,0.159,4.65934702496601e-32
"ARIH1",1.3068022950126e-36,-0.306001039751843,0.494,0.664,4.78302707997563e-32
"DLGAP4",1.32201017231108e-36,0.69924727400952,0.404,0.271,4.83868943167579e-32
"TUBB3",1.59569195525808e-36,0.394110646663665,0.184,0.077,5.8403921254401e-32
"KITLG",1.85015711106411e-36,0.25987481957136,0.175,0.068,6.77176004220573e-32
"GPR63",1.8812442094654e-36,0.354135310774967,0.14,0.047,6.88554193106431e-32
