"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cpox",5.43545901753124e-14,0.878150595389119,0.305,0.125,1.75483794380996e-09
"Micu3",5.48198573666394e-14,0.789210408790901,0.418,0.196,1.76985909508195e-09
"Elovl1",5.57646918863438e-14,0.574251040312845,0.614,0.325,1.80036307755061e-09
"Crlf3",5.64457103074396e-14,0.698421480989594,0.45,0.214,1.82234975727569e-09
"Snx4",5.74058775088304e-14,0.498599886370508,0.61,0.319,1.85334875537259e-09
"Nxn",5.82853999758651e-14,0.539827088208538,0.578,0.291,1.8817441382208e-09
"Pkig",5.90921038447793e-14,-1.54629788181826,0.369,0.51,1.9077885726287e-09
"Tuba4a",6.12628704612534e-14,1.70024262773757,0.116,0.028,1.97787177284157e-09
"Pakap",6.23704074117649e-14,0.755207343451432,0.325,0.137,2.01362860328883e-09
"Nupr1",6.38249832382884e-14,0.591065527106053,0.655,0.384,2.06058958384814e-09
"Ctnnd1",6.40966726734415e-14,-0.897751380564507,0.703,0.748,2.06936107726206e-09
"Grb14",6.43926830368954e-14,-1.72477381836595,0.281,0.462,2.07891777184617e-09
"Rpl5",6.4777236743959e-14,0.26231236019464,1,0.994,2.09133308827872e-09
"Tmeff1",6.69475650167025e-14,0.562334190400905,0.361,0.153,2.16140213656424e-09
"Rxra",6.83752754689602e-14,1.17491391581774,0.177,0.055,2.20749576851538e-09
"Fam234b",6.88894478582354e-14,1.46661227985672,0.112,0.026,2.22409582410313e-09
"Rarg",6.89005878335065e-14,0.873646338938855,0.245,0.09,2.22445547820476e-09
"Pdcd6ip",7.52390071432885e-14,0.57276915982851,0.707,0.409,2.42909134562107e-09
"Eea1",8.01637614976627e-14,0.58865515860808,0.763,0.467,2.58808703995204e-09
"Arf2",8.40380634073673e-14,0.814239697237774,0.345,0.15,2.71316887710685e-09
"Nme2",8.76551664656366e-14,0.30817024891395,0.996,0.979,2.82994704934308e-09
"Asap1",9.20811638938898e-14,0.416977673175619,0.952,0.844,2.97284037631423e-09
"Endod1",9.54091423555803e-14,1.51889276647551,0.153,0.044,3.08028416094991e-09
"Kcnip1",9.59642373689613e-14,-2.29746887261589,0.157,0.36,3.09820540345692e-09
"Ank2",1.01967496419034e-13,0.706928395830447,0.426,0.208,3.29202062188852e-09
"B4galt1",1.02309102639693e-13,0.592131711705297,0.418,0.191,3.3030493787225e-09
"Sytl2",1.0867368214243e-13,-2.40116626293597,0.124,0.331,3.50852982796835e-09
"Nob1",1.11280173805585e-13,0.656122420579407,0.418,0.192,3.5926804113133e-09
"Pqlc3",1.18648062154362e-13,1.10586323115712,0.221,0.078,3.83055268665358e-09
"Arhgap1",1.21661056955423e-13,0.730844545985076,0.406,0.188,3.92782722380583e-09
"Slit3",1.23729641246061e-13,-2.27106640529581,0.124,0.333,3.9946114676291e-09
"Tuba1a",1.24599029139105e-13,0.388331785209329,0.972,0.921,4.02267965575601e-09
"Gng12",1.28931338538063e-13,0.572876424661237,0.731,0.446,4.16254826470136e-09
"Gm19610",1.35013612330628e-13,1.38351478729229,0.129,0.033,4.35891447409433e-09
"Epb41l4aos",1.64229366838156e-13,0.595338816074603,0.522,0.263,5.30214510836986e-09
"Tns2",1.71460581798419e-13,1.04906214357694,0.209,0.072,5.53560488336195e-09
"Taldo1",1.71820941016606e-13,-0.72000399241899,0.835,0.801,5.54723908072114e-09
"Chmp4c",1.924288178725e-13,1.10274154833356,0.141,0.038,6.21256438501368e-09
"Cdc37",2.0237994236898e-13,0.462648902032006,0.968,0.751,6.53383643938253e-09
"A930015D03Rik",2.15035292842208e-13,0.638598932912334,0.357,0.155,6.94241442941068e-09
"Dagla",2.18189736059378e-13,1.42090112736888,0.12,0.03,7.04425562867702e-09
"Col4a6",2.25322296466994e-13,-3.00630727323911,0.1,0.297,7.2745303414369e-09
"Lrrc20",2.25678662544275e-13,0.933022399845101,0.205,0.07,7.28603562024192e-09
"Abcd4",2.42529101873798e-13,1.022999703478,0.213,0.075,7.83005205399558e-09
"Sars",2.42837224315581e-13,0.574187305236193,0.823,0.596,7.83999978702852e-09
"Sec31a",2.53252696487969e-13,0.58713375258702,0.715,0.418,8.17626330611409e-09
"Poglut3",2.54297084009602e-13,0.757124655190114,0.345,0.151,8.20998135725001e-09
"Fkbp7",2.60957284127022e-13,0.586067347670547,0.45,0.213,8.42500591804089e-09
"Nfix",2.68937533978565e-13,-0.573810190265041,0.92,0.896,8.68264828449796e-09
"Mcc",2.69267306195186e-13,-1.04118813463272,0.586,0.663,8.69329498051158e-09
"Stn1",2.99369341977859e-13,1.01969367813227,0.229,0.085,9.66513920575519e-09
"Tcaf1",3.04775556455955e-13,0.660728321852851,0.41,0.19,9.83967884018052e-09
