	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SYMBOL
ENSMUSG00000026628	24.7403200341531	0.91606748100965	0.210543059698141	4.35097448627862	1.3553382404501e-05	3.93676929581239e-05	Atf3
ENSMUSG00000073478	7.76871071548597	-0.585419493040336	0.365336832347662	-1.602410272401	0.109064914754125	0.162230030322434	D730003I15Rik
ENSMUSG00000037499	244.909557196415	0.618752460748687	0.0686813925953728	9.00902613308941	2.07894348663375e-19	1.63251140265431e-18	Nenf
ENSMUSG00000026627	26.3788819769339	-0.0347329687894661	0.170563163276515	-0.203636987742525	0.838637186686377	0.879216405397008	Pacc1
ENSMUSG00000026626	232.631539665879	-0.942325990756448	0.0625614350906991	-15.062410083629	2.86161811597858e-51	6.54462661709917e-50	Ppp2r5a
ENSMUSG00000103114	0.100057276254028	0	4.44531263274344	0	1	NA	Gm32200
ENSMUSG00000102246	1.64013251308039	0.40120718863566	0.688020286926738	0.583132788755082	0.559803912353402	0.643395613309727	9430037O13Rik
ENSMUSG00000037474	93.3641048305686	0.398787113131836	0.0996362846279187	4.00242857931792	6.26955967861664e-05	0.000169395322661112	Dtl
ENSMUSG00000037461	97.7934079367355	0.639347167005536	0.0980969170702271	6.51750519894351	7.14863441857841e-11	3.36968072784135e-10	Ints7
ENSMUSG00000102970	0.080722625428253	0.536894852009492	4.15276621130067	0.129286076964427	0.89713128794382	NA	Gm37349
ENSMUSG00000026623	128.868049517458	0.562480048240839	0.0883764465704006	6.36459226489456	1.95809189544481e-10	8.93539751414772e-10	Lpgat1
ENSMUSG00000102840	10.9399879354087	-0.424123984934669	0.29021474443073	-1.46141432533557	0.143901771718746	0.206083235167527	Gm38037
ENSMUSG00000026622	136.894072457582	-0.332525545103257	0.0789153888909934	-4.21369709731239	2.51224155719596e-05	7.08360347748175e-05	Nek2
ENSMUSG00000055833	0.388805320236426	-1.77883612987648	1.58949517037392	-1.11912018547248	0.263088869482089	NA	1700034H15Rik
ENSMUSG00000037434	77.0988518166146	-1.3950531075645	0.122232838689586	-11.4130795170951	3.59762671208288e-30	4.53795347109061e-29	Slc30a1
ENSMUSG00000049353	0.0532147582410833	0	4.92768185620347	0	1	NA	Rd3
ENSMUSG00000097416	0.486446164552426	-0.709634594459835	1.24809919216297	-0.568572272873625	0.56964644585811	0.652389729133572	Gm26670
ENSMUSG00000102915	0.0771176573176228	0.536893261598344	4.81349929267082	0.111539075619235	0.911188881038943	NA	Gm32460
ENSMUSG00000026637	36.1526957100563	-1.60156229995863	0.17499572916116	-9.15200792405451	5.58849870685844e-20	4.52441924509368e-19	Traf5
ENSMUSG00000103653	2.12822132030908	-0.0375765315989452	0.690950403247383	-0.0543838333726127	0.956629358892056	0.970488375815741	Gstp-ps
ENSMUSG00000097089	3.15612111513172	0.252641668625428	0.640219045731464	0.394617545838205	0.693125162603706	0.762190815442071	Gm26879
ENSMUSG00000037395	56.9305498827545	-0.2338020832804	0.130225539052736	-1.79536276049293	0.0725959216300442	0.11376347852626	Rcor3
ENSMUSG00000097316	1.77391767684594	-0.571363893600287	0.685933722957236	-0.832972449782744	0.404860267239155	0.495631858199866	Gm10516
ENSMUSG00000037375	18.9748937452426	1.01274552697291	0.214913240500669	4.71234589648171	2.44881254513424e-06	7.78542439167999e-06	Hhat
ENSMUSG00000047384	0.240661485579285	1.02424745872335	1.78084355040852	0.575147355582353	0.565191643175132	NA	A730013G03Rik
ENSMUSG00000016262	114.283809462485	-0.192920572706168	0.0918106900454192	-2.10128659974921	0.0356158153483623	0.0605709628827619	Sertad4
