"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TENM3",5.43426133525866e-53,-0.610111393183502,0.116,0.245,1.98899399131802e-48
"MTUS2",1.41878256182355e-52,-0.387905426045813,0.099,0.228,5.19288605453036e-48
"BACH1",1.6470195250802e-52,-0.467404465212263,0.222,0.372,6.02825616374603e-48
"FABP7",2.08170413384429e-52,0.440460165436211,0.174,0.072,7.61924530028348e-48
"RHOBTB1",5.81029023897174e-52,-0.371133162650667,0.118,0.25,2.12662433036605e-47
"CCK",1.06822999342929e-51,-0.358696083060724,0.035,0.129,3.90982859895056e-47
"FGF13",1.32985312718134e-51,-0.568455040034098,0.079,0.196,4.86739543079644e-47
"CHRM3",2.9639148971642e-51,-0.605993070941804,0.156,0.291,1.08482249151107e-46
"VAMP2",3.26591272908061e-51,-0.283530900344693,0.204,0.353,1.1953567179708e-46
"NTM",5.64861116484212e-51,0.426205890022879,0.796,0.771,2.06744817244387e-46
"STMN1",7.22797673595203e-51,-0.323278654670627,0.132,0.268,2.6455117651258e-46
"HECW2",3.42827830663128e-50,-0.400306473393171,0.338,0.491,1.25478414301011e-45
"CDH8",5.74934735009887e-50,-0.300194563751948,0.102,0.228,2.10431862360969e-45
"OLFM3",8.20947252107641e-50,-0.491656569584773,0.045,0.141,3.00474903743918e-45
"KCNQ5",8.4174793942901e-50,-0.530571375956318,0.126,0.254,3.08088163310412e-45
"KCNJ3",1.64310750603443e-49,-0.445648271546877,0.144,0.273,6.01393778283663e-45
"PLEKHA5",2.13918811253329e-49,-0.430276232612939,0.372,0.522,7.82964241068309e-45
"RPS9",2.92860992740958e-49,-0.251626567139755,0.135,0.271,1.07190051953118e-44
"DCLK1",3.14769625801324e-49,-0.629537312195967,0.139,0.267,1.15208830739543e-44
"CDH9",3.86915352720778e-49,-0.524384117876103,0.074,0.185,1.41614888249332e-44
"ELL2",4.81072485998482e-49,-0.269989463632686,0.253,0.412,1.76077340600304e-44
"RPS8",4.84570068810839e-49,-0.351833344575137,0.186,0.335,1.77357490885455e-44
"PTPRZ1",5.15359317892264e-49,0.823702199756732,0.527,0.428,1.88626663941747e-44
"DNM1",5.93135954148515e-49,-0.290189642723972,0.166,0.303,2.17093690577898e-44
"ZBTB16",9.18934627844413e-49,-0.285686356679618,0.167,0.307,3.36339263137333e-44
"CBWD5",3.62100606753734e-48,-0.262089168477167,0.128,0.261,1.32532443077934e-43
"TTLL11",4.0687947285988e-48,-0.273261271238388,0.228,0.387,1.48921955861445e-43
"RUNDC3B",1.02209916640662e-47,-0.348012448859294,0.112,0.238,3.74098515896488e-43
"KIAA1211L",2.28578642499786e-47,-0.25299173385564,0.038,0.128,8.36620689413468e-43
"WIF1",4.17062610506807e-47,1.00312433500094,0.213,0.113,1.52649086071596e-42
"LSAMP",4.88660368878979e-47,0.479576587936838,0.809,0.805,1.78854581613395e-42
"RPH3A",1.17816261311707e-46,-0.261112919718713,0.108,0.229,4.31219298026978e-42
"ELAVL2",1.37289748228043e-46,-0.270741793757386,0.054,0.153,5.02494207489459e-42
"FRMD4A",1.91226257732518e-46,-0.260904782968308,0.572,0.68,6.99907225926788e-42
"ATP2B2",2.1990971790859e-46,-0.469613180381602,0.239,0.37,8.0489155851723e-42
"ZBTB20",2.53298256386929e-46,0.367174954407442,0.829,0.8,9.27096948201797e-42
"CAP2",4.15656162636841e-46,-0.259156151156842,0.11,0.231,1.5213431208671e-41
"AQP4",7.75572430961887e-46,0.668011348955779,0.233,0.124,2.8386726545636e-41
"HGSNAT",1.02415808210927e-45,-0.251329930521306,0.212,0.36,3.74852099632814e-41
"GPR37L1",1.78857845155131e-45,0.508905350485451,0.307,0.185,6.54637599052296e-41
"ARHGAP44",2.0272232219337e-45,-0.384493572356814,0.157,0.283,7.41983971459954e-41
"RBFOX1",2.20740429486879e-45,-0.818746141102583,0.386,0.505,8.07932045964927e-41
"CCDC85A",2.28162639940505e-45,-0.404569844916514,0.088,0.197,8.35098078446243e-41
"PTCHD4",3.01266222555963e-45,-0.472025918103737,0.052,0.147,1.10266450117708e-40
"SPHKAP",5.52205900863914e-45,-0.329063535396802,0.03,0.112,2.02112881775201e-40
"KSR2",5.67964211411282e-45,-0.302057686891463,0.155,0.285,2.07880581018643e-40
"DENND3",5.75251975194363e-45,-0.26220867637306,0.049,0.143,2.10547975440889e-40
"GARNL3",9.42687770341606e-45,-0.261405734909427,0.321,0.477,3.45033150822731e-40
"ADAMTS19",1.25312716416728e-44,-0.350526303890159,0.136,0.265,4.58657073356866e-40
"CDH7",1.51522671716392e-44,-0.325878734436056,0.052,0.145,5.54588130749167e-40
"LINC01250",1.70415757171015e-44,-0.263194221162217,0.058,0.156,6.2373871282163e-40
"PALM2-AKAP2",2.00787259160636e-44,-0.265751478326148,0.24,0.402,7.34901447253845e-40
"NRG1",2.00995561456394e-44,-0.717790839174561,0.06,0.155,7.35663854486547e-40
"RASAL2",2.75069125065933e-44,-0.33113881315947,0.416,0.56,1.00678050465382e-39
"NDST3",2.86645368993586e-44,-0.325685271937281,0.058,0.154,1.04915071505343e-39
"AEBP2",6.97494091510462e-44,-0.296321603820165,0.282,0.422,2.55289812433744e-39
"DANT2",8.60645258045914e-44,-0.34640053524214,0.427,0.571,3.15004770897385e-39
"FBXO34",1.05005545364279e-43,-0.258426950419173,0.162,0.292,3.84330796587798e-39
"NETO2",1.16650991070736e-43,-0.392175018562349,0.173,0.302,4.26954292417999e-39
"TBC1D4",1.46157175866553e-43,-0.350673911353713,0.178,0.312,5.34949879389172e-39
"KCNH1",1.80136546164763e-43,-0.37441506875009,0.158,0.283,6.5931777261765e-39
"HS3ST4",2.73384683074818e-43,-0.405159196170267,0.071,0.173,1.00061527852214e-38
"MIR137HG",3.6179397937664e-43,-0.25259406684957,0.08,0.187,1.32420214391644e-38
"SPON1",6.85078035411005e-43,0.587574878535253,0.349,0.23,2.50745411740782e-38
"EML1",7.17122839564022e-43,-0.254072808676467,0.127,0.248,2.62474130508828e-38
"KCNH7",9.05856011167437e-43,-0.512697868124129,0.141,0.261,3.31552358647394e-38
"DYNC1I1",1.81235645547967e-42,-0.275475432409495,0.197,0.335,6.63340586270114e-38
