"","ensembl_gene_id","external_gene_name"
"328","ENSMUSG00000001847","Rac1"
"329","ENSMUSG00000001855","Nup214"
"330","ENSMUSG00000001864","Aif1l"
"331","ENSMUSG00000001865","Cpa3"
"332","ENSMUSG00000001870","Ltbp1"
"333","ENSMUSG00000001891","Ugp2"
"334","ENSMUSG00000001901","Kcnh6"
"335","ENSMUSG00000001909","Trmt1"
"336","ENSMUSG00000001910","Nacc1"
"337","ENSMUSG00000001911","Nfix"
"338","ENSMUSG00000001918","Slc1a5"
"339","ENSMUSG00000001924","Uba1"
"340","ENSMUSG00000001930","Vwf"
"341","ENSMUSG00000001942","Siae"
"342","ENSMUSG00000001943","Vsig2"
"343","ENSMUSG00000001946","Esam"
"344","ENSMUSG00000001948","Spa17"
"345","ENSMUSG00000001962","Fam50a"
"346","ENSMUSG00000001964","Emd"
"347","ENSMUSG00000001983","Taco1"
"348","ENSMUSG00000001985","Grik3"
"349","ENSMUSG00000001986","Gria3"
"350","ENSMUSG00000001988","Npas1"
"351","ENSMUSG00000001995","Sipa1l2"
"352","ENSMUSG00000001998","Ap4e1"
"353","ENSMUSG00000001999","Blvra"
"354","ENSMUSG00000002006","Pdzd4"
"355","ENSMUSG00000002007","Srpk3"
"356","ENSMUSG00000002010","Idh3g"
"357","ENSMUSG00000002012","Pnck"
"358","ENSMUSG00000002014","Ssr4"
"359","ENSMUSG00000002015","Bcap31"
"360","ENSMUSG00000002017","Fam98a"
"361","ENSMUSG00000002020","Ltbp2"
"362","ENSMUSG00000002028","Kmt2a"
"363","ENSMUSG00000002031","Ift46"
"364","ENSMUSG00000002032","Tmem25"
"365","ENSMUSG00000002033","Cd3g"
"366","ENSMUSG00000002043","Trappc6a"
"367","ENSMUSG00000002052","Supt6"
"368","ENSMUSG00000002055","Spag5"
"369","ENSMUSG00000002057","Foxn1"
"370","ENSMUSG00000002058","Unc119"
"371","ENSMUSG00000002059","Rab34"
"372","ENSMUSG00000002064","Sdf2"
"373","ENSMUSG00000002068","Ccne1"
"374","ENSMUSG00000002076","Hsf2bp"
"375","ENSMUSG00000002083","Bbc3"
"376","ENSMUSG00000002100","Mybpc3"
"377","ENSMUSG00000002102","Psmc3"
"378","ENSMUSG00000002103","Acp2"
"379","ENSMUSG00000002104","Rapsn"
"380","ENSMUSG00000002105","Slc39a13"
"381","ENSMUSG00000002107","Celf2"
"382","ENSMUSG00000002108","Nr1h3"
"383","ENSMUSG00000002109","Ddb2"
"384","ENSMUSG00000002111","Spi1"
"385","ENSMUSG00000002129","Sf3a1"
"386","ENSMUSG00000002147","Stat6"
"387","ENSMUSG00000002190","Clgn"
"388","ENSMUSG00000002204","Napsa"
"389","ENSMUSG00000002205","Vrk3"
"390","ENSMUSG00000002210","Smg9"
"391","ENSMUSG00000002221","Paxip1"
"392","ENSMUSG00000002222","Rmnd5a"
"393","ENSMUSG00000002227","Mov10"
"394","ENSMUSG00000002228","Ppm1j"
"395","ENSMUSG00000002233","Rhoc"
"396","ENSMUSG00000002240","Prr27"
"397","ENSMUSG00000002249","Tead3"
"398","ENSMUSG00000002250","Ppard"
"399","ENSMUSG00000002257","Def6"
"400","ENSMUSG00000002265","Peg3"
"401","ENSMUSG00000002266","Zim1"
"402","ENSMUSG00000002274","Metrn"
"403","ENSMUSG00000002279","Lmf1"
"404","ENSMUSG00000002280","Ciao3"
"405","ENSMUSG00000002289","Angptl4"
"406","ENSMUSG00000002297","Dbf4"
"407","ENSMUSG00000002307","Daxx"
"408","ENSMUSG00000002308","Cd320"
"409","ENSMUSG00000002319","Ipo4"
"410","ENSMUSG00000002320","Tm9sf1"
"411","ENSMUSG00000002324","Rec8"
"412","ENSMUSG00000002325","Irf9"
"413","ENSMUSG00000002326","Gmpr2"
"414","ENSMUSG00000002329","Mdp1"
"415","ENSMUSG00000002332","Dhrs1"
"416","ENSMUSG00000002341","Ncan"
"417","ENSMUSG00000002342","Tmem161a"
"418","ENSMUSG00000002343","Armc6"
"419","ENSMUSG00000002345","Borcs8"
"420","ENSMUSG00000002346","Slc25a42"
"421","ENSMUSG00000002365","Snx9"
"422","ENSMUSG00000002372","Ranbp3"
"423","ENSMUSG00000002379","Ndufa11"
"424","ENSMUSG00000002384","Bmp8b"
"425","ENSMUSG00000002393","Nr2f6"
"426","ENSMUSG00000002395","Use1"
"427","ENSMUSG00000002396","Ocel1"
"428","ENSMUSG00000002409","Dyrk1b"
"429","ENSMUSG00000002413","Braf"
"430","ENSMUSG00000002416","Ndufb2"
"431","ENSMUSG00000002428","Hltf"
"432","ENSMUSG00000002455","Prpf6"
"433","ENSMUSG00000002458","Rgs19"
"434","ENSMUSG00000002459","Rgs20"
"435","ENSMUSG00000002475","Abhd3"
"436","ENSMUSG00000002477","Snrpd1"
"437","ENSMUSG00000002486","Tchp"
"438","ENSMUSG00000002489","Tiam1"
"439","ENSMUSG00000002496","Tsc2"
"440","ENSMUSG00000002500","Rpl3l"
"441","ENSMUSG00000002504","Nherf2"
"442","ENSMUSG00000002524","Puf60"
"443","ENSMUSG00000002546","Golga2"
"444","ENSMUSG00000002550","Uck1"
"445","ENSMUSG00000002565","Scin"
"446","ENSMUSG00000002578","Ikzf4"
"447","ENSMUSG00000002580","Mien1"
"448","ENSMUSG00000002588","Pon1"
"449","ENSMUSG00000002602","Axl"
"450","ENSMUSG00000002603","Tgfb1"
"451","ENSMUSG00000002608","Ccdc97"
"452","ENSMUSG00000002617","Zfp40"
"453","ENSMUSG00000002625","Akap8l"
"454","ENSMUSG00000002633","Shh"
"455","ENSMUSG00000002635","Pdcd2l"
"456","ENSMUSG00000002658","Gtf2f1"
"457","ENSMUSG00000002660","Clpp"
"458","ENSMUSG00000002661","Alkbh7"
"459","ENSMUSG00000002664","Pspn"
"460","ENSMUSG00000002668","Dennd1c"
"461","ENSMUSG00000002679","Med6"
"462","ENSMUSG00000002688","Prkd1"
"463","ENSMUSG00000002699","Lcp2"
"464","ENSMUSG00000002718","Cse1l"
"465","ENSMUSG00000002728","Naa20"
"466","ENSMUSG00000002731","Prkra"
"467","ENSMUSG00000002732","Fkbp7"
"468","ENSMUSG00000002733","Plekha3"
"469","ENSMUSG00000002741","Ykt6"
"470","ENSMUSG00000002748","Baz1b"
"471","ENSMUSG00000002763","Pex6"
"472","ENSMUSG00000002767","Mrpl2"
"473","ENSMUSG00000002768","Mea1"
"474","ENSMUSG00000002769","Gnmt"
"475","ENSMUSG00000002771","Grin2d"
"476","ENSMUSG00000002778","Kdelr1"
"477","ENSMUSG00000002781","Tmem143"
"478","ENSMUSG00000002791","Pdxk-ps"
"479","ENSMUSG00000002797","Ggct"
"480","ENSMUSG00000002799","Jag2"
"481","ENSMUSG00000002803","Btbd6"
"482","ENSMUSG00000002804","Nudt14"
"483","ENSMUSG00000002808","Epdr1"
"484","ENSMUSG00000002812","Flii"
"485","ENSMUSG00000002814","Top3a"
"486","ENSMUSG00000002820","Atg4d"
"487","ENSMUSG00000002825","Qtrt1"
"488","ENSMUSG00000002831","Plin4"
"489","ENSMUSG00000002833","Hdgfl2"
"490","ENSMUSG00000002835","Chaf1a"
"491","ENSMUSG00000002844","Adprh"
"492","ENSMUSG00000002845","Tmem39a"
"493","ENSMUSG00000002846","Timmdc1"
"494","ENSMUSG00000002847","Pla1a"
"495","ENSMUSG00000002870","Mcm2"
"496","ENSMUSG00000002871","Tpra1"
"497","ENSMUSG00000002881","Nab1"
"498","ENSMUSG00000002885","Adgre5"
"499","ENSMUSG00000002897","Il17ra"
"500","ENSMUSG00000002900","Lamb1"
"501","ENSMUSG00000002908","Kcnn1"
"502","ENSMUSG00000002910","Arrdc2"
"503","ENSMUSG00000002930","Ppp1r17"
"504","ENSMUSG00000002944","Cd36"
"505","ENSMUSG00000002948","Map2k7"
"506","ENSMUSG00000002949","Timm44"
"507","ENSMUSG00000002957","Ap2a2"
"508","ENSMUSG00000002963","Pnkp"
"509","ENSMUSG00000002968","Med25"
"510","ENSMUSG00000002980","Bcam"
"511","ENSMUSG00000002981","Clptm1"
"512","ENSMUSG00000002983","Relb"
"513","ENSMUSG00000002984","Tomm40"
"514","ENSMUSG00000002985","Apoe"
"515","ENSMUSG00000002992","Apoc2"
"516","ENSMUSG00000002996","Hbp1"
"517","ENSMUSG00000002997","Prkar2b"
"518","ENSMUSG00000003031","Cdkn1b"
"519","ENSMUSG00000003032","Klf4"
"520","ENSMUSG00000003033","Ap1m1"
"521","ENSMUSG00000003037","Rab8a"
"522","ENSMUSG00000003038","Hmgn2"
"523","ENSMUSG00000003039","Fam32a"
"524","ENSMUSG00000003051","Elf3"
"525","ENSMUSG00000003053","Cyp2c29"
"526","ENSMUSG00000003062","Stard3nl"
"527","ENSMUSG00000003068","Stk11"
"528","ENSMUSG00000003070","Efna2"
"529","ENSMUSG00000003072","Atp5f1d"
"530","ENSMUSG00000003099","Ppp5c"
"531","ENSMUSG00000003119","Cdk12"
"532","ENSMUSG00000003123","Lipe"
"533","ENSMUSG00000003131","Pafah1b2"
"534","ENSMUSG00000003134","Tbc1d8"
"535","ENSMUSG00000003135","Cnot11"
"536","ENSMUSG00000003153","Slc2a3"
"537","ENSMUSG00000003154","Foxj2"
"538","ENSMUSG00000003161","Sri"
"539","ENSMUSG00000003166","Dgcr2"
"540","ENSMUSG00000003178",NA
"541","ENSMUSG00000003184","Irf3"
"542","ENSMUSG00000003190","Bcl2l12"
"543","ENSMUSG00000003198","Zfp959"
"544","ENSMUSG00000003199","Mpnd"
"545","ENSMUSG00000003200","Sh3gl1"
"546","ENSMUSG00000003206","Ebi3"
"547","ENSMUSG00000003208","Yju2"
"548","ENSMUSG00000003226","Ranbp2"
"549","ENSMUSG00000003227","Edar"
"550","ENSMUSG00000003228","Grk5"
"551","ENSMUSG00000003233","Dvl3"
"552","ENSMUSG00000003234","Abcf3"
"553","ENSMUSG00000003235","Eif2b5"
"554","ENSMUSG00000003269","Cyth2"
"555","ENSMUSG00000003271","Sult2b1"
"556","ENSMUSG00000003273","Car11"
"557","ENSMUSG00000003279","Dlgap1"
"558","ENSMUSG00000003282","Plag1"
"559","ENSMUSG00000003283","Hck"
"560","ENSMUSG00000003299","Mrpl4"
"561","ENSMUSG00000003308","Keap1"
"562","ENSMUSG00000003309","Ap1m2"
"563","ENSMUSG00000003316","Glg1"
"564","ENSMUSG00000003341","Atp8b3"
"565","ENSMUSG00000003344","Btbd2"
"566","ENSMUSG00000003345","Csnk1g2"
"567","ENSMUSG00000003346","Abhd17a"
"568","ENSMUSG00000003348","Mob3a"
"569","ENSMUSG00000003352","Cacnb3"
"570","ENSMUSG00000003354","Ccdc65"
"571","ENSMUSG00000003355","Fkbp11"
"572","ENSMUSG00000003360","Ddx23"
"573","ENSMUSG00000003363","Pld3"
"574","ENSMUSG00000003378","Grik5"
"575","ENSMUSG00000003379","Cd79a"
"576","ENSMUSG00000003380","Rabac1"
"577","ENSMUSG00000003382","Etv3"
"578","ENSMUSG00000003402","Prkcsh"
"579","ENSMUSG00000003410","Elavl3"
"580","ENSMUSG00000003411","Rab3b"
"581","ENSMUSG00000003418","St8sia6"
"582","ENSMUSG00000003420","Fcgrt"
"583","ENSMUSG00000003421","Nosip"
"584","ENSMUSG00000003423","Pih1d1"
"585","ENSMUSG00000003429","Rps11"
"586","ENSMUSG00000003435","Supt5"
"587","ENSMUSG00000003436","Dll3"
"588","ENSMUSG00000003437","Paf1"
"589","ENSMUSG00000003438","Timm50"
"590","ENSMUSG00000003444","Med29"
"591","ENSMUSG00000003452","Bicd1"
"592","ENSMUSG00000003458","Ncstn"
"593","ENSMUSG00000003464","Pex19"
"594","ENSMUSG00000003469","Phyhip"
"595","ENSMUSG00000003476","Crhr2"
"596","ENSMUSG00000003477","Inmt"
"597","ENSMUSG00000003484","Cyp4f18"
"598","ENSMUSG00000003500","Impdh1"
"599","ENSMUSG00000003505","Psg18"
"600","ENSMUSG00000003518","Dusp3"
"601","ENSMUSG00000003526","Prodh"
"602","ENSMUSG00000003527","Ess2"
"603","ENSMUSG00000003528","Slc25a1"
"604","ENSMUSG00000003531","Dgcr6"
"605","ENSMUSG00000003534","Ddr1"
"606","ENSMUSG00000003541","Ier3"
"607","ENSMUSG00000003545","Fosb"
"608","ENSMUSG00000003546","Klc4"
"609","ENSMUSG00000003549","Ercc1"
"610","ENSMUSG00000003555","Cyp17a1"
"611","ENSMUSG00000003559","As3mt"
"612","ENSMUSG00000003573","Homer3"
"613","ENSMUSG00000003575","Crtc1"
"614","ENSMUSG00000003581","Rnf215"
"615","ENSMUSG00000003585","Sec14l2"
"616","ENSMUSG00000003604","Aven"
"617","ENSMUSG00000003617","Cp"
"618","ENSMUSG00000003623","Crot"
"619","ENSMUSG00000003644","Rps6ka1"
"620","ENSMUSG00000003657","Calb2"
"621","ENSMUSG00000003660","Snrnp200"
"622","ENSMUSG00000003662","Ciao1"
"623","ENSMUSG00000003665","Has1"
"624","ENSMUSG00000003680","Taf6l"
"625","ENSMUSG00000003721","Insig2"
"626","ENSMUSG00000003731","Kpna6"
"627","ENSMUSG00000003746","Man1a"
"628","ENSMUSG00000003752","Itpkc"
"629","ENSMUSG00000003762","Coq8b"
"630","ENSMUSG00000003778","Brd8"
"631","ENSMUSG00000003779","Kif20a"
"632","ENSMUSG00000003808","Farsa"
"633","ENSMUSG00000003809","Gcdh"
"634","ENSMUSG00000003810","Mast2"
"635","ENSMUSG00000003812","Dnase2a"
"636","ENSMUSG00000003813","Rad23a"
"637","ENSMUSG00000003814","Calr"
