"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CYFIP1",7.4769148481255e-60,-1.26811004161026,0.105,0.314,2.73662560356241e-55
"MMP24",7.83388748982298e-60,-0.340007356201176,0.013,0.178,2.86728116015011e-55
"SLF1",8.73550739553981e-60,-0.363069569983907,0.066,0.27,3.19728306184152e-55
"MMP17",9.51009700921215e-60,-0.470142295614234,0.079,0.291,3.48079060634174e-55
"FAM102B",9.93854078641861e-60,-0.444557934979749,0.031,0.21,3.63760531323708e-55
"RPS6KA6",1.04052399443753e-59,-0.315083854806222,0.036,0.221,3.8084218720408e-55
"INPP4A",1.26601176454374e-59,-0.632355791214204,0.173,0.4,4.63372965940653e-55
"SDK1",1.55958171582834e-59,-1.28685280386241,0.094,0.29,5.7082250381033e-55
"GLS2",1.82595841321883e-59,-0.288290847081107,0.009,0.17,6.68319038822223e-55
"NAP1L3",1.85134933405086e-59,-0.352264279529913,0.018,0.187,6.77612369755954e-55
"NPTX1",2.07498791634259e-59,-0.397007137720222,0.032,0.213,7.59466327260551e-55
"DENND3",3.29869930405137e-59,-0.603835379163641,0.021,0.19,1.20735693227584e-54
"SCG5",3.45357296696947e-59,-0.339363092123522,0.056,0.256,1.26404224164049e-54
"FASTKD1",3.57453928429374e-59,-0.52186131303106,0.116,0.335,1.30831712344435e-54
"TRAF3IP2",3.65758626230464e-59,0.44538233978972,0.171,0.051,1.33871314786612e-54
"TNRC18",4.14183886848307e-59,-0.668527383082308,0.212,0.451,1.51595444425349e-54
"SULT4A1",4.28664733708175e-59,-0.340018426266519,0.038,0.22,1.56895579184529e-54
"RASGEF1B",4.93512904867277e-59,1.395923058997,0.23,0.092,1.80630658310472e-54
"LRRC1",5.19590246954891e-59,0.783527935178394,0.269,0.114,1.9017522628796e-54
"ZYG11B",5.71671163240565e-59,-0.528721122052515,0.145,0.374,2.09237362457679e-54
"FAR2",5.79638725784159e-59,-0.603015903445413,0.066,0.266,2.1215357002426e-54
"DDIT4",8.92649313603389e-59,0.334157596380277,0.103,0.018,3.26718575271976e-54
"CCDC30",9.61346609953839e-59,-0.515305654985367,0.1,0.313,3.51862472709205e-54
"XKR6",1.09359176200403e-58,-0.821729047984854,0.289,0.494,4.00265520811096e-54
"TRPC5",1.36910053614902e-58,-0.494777404820408,0.013,0.175,5.01104487235903e-54
"RPS4Y1",1.40656835176958e-58,-0.454330788571764,0.001,0.151,5.14818082431182e-54
"PLEKHM3",1.42559174873076e-58,-0.354391333293406,0.123,0.355,5.21780835952944e-54
"BEX1",1.55157059819368e-58,-0.332121146503518,0.023,0.194,5.6789035464487e-54
"RPL22",1.65448001639037e-58,-0.422691916813378,0.036,0.217,6.05556230799041e-54
"GABRA4",1.66972403633488e-58,-0.294486229785731,0.064,0.264,6.11135694538928e-54
"RAPH1",1.86132646714686e-58,-0.638643297615817,0.117,0.329,6.81264100240423e-54
"GIT2",2.28975583698782e-58,-0.478396910194875,0.14,0.369,8.38073533895913e-54
"SERPINI1",2.71645998584173e-58,-0.402951363779977,0.137,0.369,9.94251519417933e-54
"TMTC4",2.84387955803514e-58,0.998780073676121,0.28,0.127,1.04088835703644e-53
"CHCHD6",2.8795065127073e-58,-0.421266628921353,0.062,0.258,1.053928178716e-53
"STAT4",3.34506427909002e-58,-0.432480602355862,0.017,0.182,1.22432697678974e-53
"SLITRK5",3.40919252314897e-58,-0.306479106988367,0.063,0.261,1.24779855539776e-53
"ADAMTS14",3.55749662348683e-58,0.718591426436011,0.104,0.019,1.30207933916241e-53
"PLD3",3.84196005332773e-58,-0.539365148225091,0.21,0.448,1.40619579911848e-53
"MROH1",4.37702182443397e-58,-0.512748522125326,0.136,0.355,1.60203375796108e-53
"OPRD1",4.38100124802346e-58,-0.360546173292069,0.006,0.162,1.60349026678907e-53
