"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,0.604662428322441,0.314,0,0,"Eif2s3y"
0,0.778603047786359,0.35,0,0,"Uty"
1.67538463560128e-306,0.668076416446227,0.986,0.98,5.40897929603872e-302,"Rpl27"
2.18259971968272e-299,0.728567009913914,0.383,0.032,7.04652319499566e-295,"Nrn1"
5.39055874170573e-298,0.95812953350752,0.57,0.133,1.7403418897597e-293,"Cd109"
6.0172401471315e-298,0.920498751187987,0.966,0.901,1.94266598150141e-293,"Mif"
1.83428539655556e-295,0.960218691262052,0.956,0.83,5.92199040277961e-291,"Gas5"
3.8887612228453e-293,0.958163021522097,0.601,0.156,1.2554865607956e-288,"Mgst3"
2.11120728989133e-285,0.625487433881721,0.995,0.99,6.81603273541418e-281,"Rpl39"
1.38849115469474e-284,0.569541262757438,0.994,0.993,4.48274369293197e-280,"Rps23"
2.17068982328942e-267,0.729413327835469,0.984,0.974,7.00807209448988e-263,"Ptma"
1.92890495210411e-265,0.552912024276836,0.284,0.008,6.22746963786811e-261,"9330188P03Rik"
3.04346453176168e-261,0.804250155708885,0.49,0.098,9.82582524079257e-257,"Capg"
4.48827271244123e-256,0.513887074090471,0.999,0.995,1.44903884521165e-251,"Rps14"
2.10349020074698e-255,0.670694586736839,0.351,0.035,6.79111811311162e-251,"Myo1b"
3.54735913430661e-254,0.881823922618784,0.969,0.917,1.14526489651089e-249,"Tuba1a"
5.27610254341952e-248,1.04557292140491,0.879,0.644,1.70338970614299e-243,"2410006H16Rik"
6.08777060676168e-248,0.582676968844311,0.292,0.015,1.96543674039301e-243,"Ano1"
1.99998114095791e-245,0.7469850991564,0.388,0.056,6.4569391135826e-241,"Lpar1"
2.35770088886099e-244,0.593765929807084,0.361,0.041,7.6118373196877e-240,"Fads3"
1.47495422929483e-240,1.01644479097032,0.559,0.166,4.76188972927837e-236,"Cxcl14"
1.23425322998336e-233,1.16126233583434,0.677,0.261,3.98478655300127e-229,"Tm4sf1"
1.52711287324679e-233,0.69017870386403,0.402,0.066,4.93028391127725e-229,"Nr2f1"
8.68671110260428e-230,0.534191661022243,0.994,0.99,2.80450467947579e-225,"Rpl34"
1.28666492607462e-229,0.716524125537642,0.968,0.902,4.15399771383191e-225,"Pfn1"
4.20423743108655e-227,0.551774004413749,0.314,0.029,1.35733805462629e-222,"Ddx3y"
3.36789189499557e-226,0.899288734825717,0.403,0.073,1.08732389829932e-221,"Unc13c"
2.71872035069259e-225,0.501588196433504,0.995,0.99,8.77738865221103e-221,"Rpl35a"
2.40839179937204e-224,0.508629668874892,0.218,0,7.77549292427263e-220,"Sfta3-ps"
4.51818320452009e-216,1.01414588820439,0.73,0.372,1.45869544757931e-211,"Slc4a7"
9.80581713844289e-214,0.59054628153202,0.257,0.014,3.16580806314629e-209,"Kazald1"
6.64316360465343e-212,1.09049437208204,0.775,0.411,2.14474536976236e-207,"Adgrl3"
1.13816439825471e-205,0.880942350511581,0.529,0.16,3.67456375976533e-201,"Eya4"
1.46091989080405e-204,0.589435601919625,0.982,0.955,4.71657986746086e-200,"Rpl36a"
1.04030440678897e-200,0.667785636911109,0.957,0.909,3.35862277731819e-196,"Oaz1"
3.10000083363823e-199,0.684498012782465,0.42,0.095,1.0008352691401e-194,"P3h4"
8.41756011427198e-198,0.6096083346705,0.355,0.058,2.71760928289271e-193,"Tinagl1"
1.41351890392013e-197,1.25311277208111,0.897,0.723,4.56354578130613e-193,"Npas3"
3.84201375766641e-195,0.72955295521809,0.485,0.141,1.2403941416626e-190,"2200002D01Rik"
1.39715913850498e-193,0.547363477344669,0.988,0.972,4.51072827866333e-189,"Rps27"
7.22887074074601e-188,0.899523626301723,0.502,0.157,2.33384091864985e-183,"Fbn2"
1.17990517077825e-185,0.72170641828481,0.637,0.241,3.80932384385757e-181,"Wls"
3.45357733973609e-182,0.537329767625903,0.983,0.963,1.1149874441338e-177,"Anxa2"
9.67128099437345e-182,0.822034521092102,0.723,0.383,3.12237306903347e-177,"Mrpl52"
1.47609361680945e-177,0.707559928141952,0.484,0.147,4.76556824186931e-173,"Vcam1"
1.48408492509954e-175,1.0056736680014,0.527,0.189,4.79136818068385e-171,"Mt2"
3.06992200307895e-175,0.835367315578255,0.954,0.841,9.91124318694039e-171,"Tcf4"
1.43608918635979e-174,0.930605560019535,0.768,0.512,4.6364139381626e-170,"Nr2f2"
3.61692346641347e-172,0.72444030392225,0.908,0.74,1.16772374113159e-167,"Sec61g"
6.0743371041864e-172,0.558021965306485,0.957,0.921,1.96109973408658e-167,"Atp5g2"
1.49461103576215e-169,0.89757053335675,0.789,0.513,4.82535172895812e-165,"Fdps"
1.70821456993517e-168,0.626944435515848,0.287,0.041,5.5149707390357e-164,"Pcdh9"
8.50557275371022e-168,0.544612267756886,0.994,0.986,2.74602416353534e-163,"Actg1"
1.16007190493622e-167,0.878843618436317,0.892,0.741,3.74529214508659e-163,"Csrp2"
7.2421931729249e-167,0.550883969649298,0.25,0.028,2.3381420658788e-162,"Mecom"
1.2409402935362e-164,0.756258401729154,0.382,0.097,4.00637573768164e-160,"Myo1d"
1.98029327575533e-162,0.503154339780255,0.311,0.055,6.39337684077608e-158,"Gng2"
5.96911679311738e-161,0.751939428256665,0.418,0.111,1.92712935665795e-156,"Aebp1"
2.3960826777708e-156,0.583836190721638,0.403,0.112,7.73575292518301e-152,"Chst1"
2.35757088821114e-155,0.766716805919769,0.834,0.606,7.61141761258966e-151,"Hcfc1r1"
9.5351916657488e-151,0.509046269393889,0.278,0.046,3.078436629287e-146,"Ahr"
2.99878260496956e-150,0.720136528573806,0.906,0.722,9.68156964014421e-146,"Flnb"
1.13316873121504e-148,0.562006944379377,0.3,0.059,3.65843524872774e-144,"Ccdc80"
7.08592739566677e-148,0.692351629986381,0.734,0.438,2.28769165969102e-143,"Tkt"
9.7559383160855e-147,0.776806884739325,0.71,0.416,3.1497046853482e-142,"Mrpl33"
5.90657538240758e-146,0.550861483267738,0.97,0.945,1.90693786221029e-141,"Eif5a"
2.23778460163941e-142,0.751874308127913,0.441,0.151,7.22468758639284e-138,"Kalrn"
4.04620091713622e-142,0.538458273185586,0.331,0.077,1.30631596609743e-137,"Nav1"
2.80940262114794e-141,0.661548515350166,0.861,0.676,9.07015636237612e-137,"Nedd8"
6.16681985513268e-139,0.527316812612907,0.324,0.077,1.99095779022959e-134,"Ctsh"
1.32971187903282e-138,0.641725373805667,0.492,0.189,4.29297480145747e-134,"Nid2"
1.71358384163171e-135,0.680039235381709,0.853,0.68,5.53230543270799e-131,"Cdkn2a"
5.13704164207555e-135,0.625054530458384,0.885,0.726,1.65849389414409e-130,"Psmb5"
3.4888168141303e-134,0.586324847237909,0.934,0.839,1.12636450844197e-129,"Rps27l"
1.30000725462716e-128,0.61381975667946,0.457,0.168,4.19707342156377e-124,"Nrp2"
4.51931360159803e-128,0.698691660214788,0.842,0.613,1.45906039627592e-123,"Gsn"
6.76186578660142e-125,0.566430939640532,0.282,0.062,2.18306836920427e-120,"Jaml"
2.39548673400947e-118,0.613770573806315,0.571,0.284,7.73382892074957e-114,"Apex1"
1.80649134969694e-117,0.640599066569749,0.597,0.309,5.83225732249658e-113,"Dpysl2"
2.5662399612788e-117,1.20376443844082,0.727,0.454,8.2851057149886e-113,"Mgp"
3.43930937029918e-117,0.632209635597399,0.364,0.113,1.11038103020109e-112,"Arhgap24"
2.01300433266447e-116,0.694802337211711,0.66,0.378,6.49898448800724e-112,"Ankrd28"
6.77106082757266e-113,0.50860773227507,0.946,0.882,2.18603698818183e-108,"Esd"
2.12303305575458e-112,0.656518237414864,0.72,0.477,6.85421222050365e-108,"Thoc7"
5.91095504474224e-111,0.551860841886309,0.493,0.213,1.90835183619503e-106,"Scx"
6.9743599231938e-111,0.564868221310829,0.557,0.273,2.25167210120312e-106,"Litaf"
3.79636009709081e-110,0.609313319540792,0.432,0.171,1.22565485734577e-105,"Pantr1"
8.12296738958321e-110,0.634823102365033,0.748,0.511,2.62250002172694e-105,"Ndufc2"
2.6617691794451e-109,0.703739299556495,0.646,0.372,8.5935217958385e-105,"Rai14"
4.46477197215263e-109,0.585877062794471,0.902,0.799,1.44145163120948e-104,"Marcks"
2.6349640529925e-107,0.736416736016271,0.395,0.148,8.50698144508627e-103,"Sox2ot"
6.16598440412294e-107,0.595288059409325,0.541,0.263,1.99068806487109e-102,"Epb41l4a"
7.23518719436233e-106,0.508536280560955,0.404,0.151,2.33588018569988e-101,"Gamt"
2.92650457939548e-105,0.585226856614139,0.466,0.202,9.4482200345783e-101,"Eml1"
2.98376508930858e-103,0.537169852447672,0.917,0.821,9.63308559083276e-99,"Tpi1"
8.36888676248284e-102,0.613467419874339,0.562,0.293,2.70189509126759e-97,"Ctnnd2"
4.0045922292712e-101,0.628657717049927,0.72,0.495,1.29288260122021e-96,"Lsm7"
7.74943930295024e-101,0.501637496694393,0.46,0.2,2.50190647895749e-96,"Ccser2"
