"SYMBOL_UPPER","Overall_pvalue","Expression_coef_MA","Expression_Lower95_MA","Expression_Upper95_MA","Expression_SE_MA","Expression_pvalue_MA","Recurrence_Recurrent_coef_MA","Recurrence_Recurrent_Lower95_MA","Recurrence_Recurrent_Upper95_MA","Recurrence_Recurrent_SE_MA","Recurrence_Recurrent_pvalue_MA","Recurrence_Secondary_coef_MA","Recurrence_Secondary_Lower95_MA","Recurrence_Secondary_Upper95_MA","Recurrence_Secondary_SE_MA","Recurrence_Secondary_pvalue_MA","Age_coef_MA","Age_Lower95_MA","Age_Upper95_MA","Age_SE_MA","Age_pvalue_MA","Subtype_Mesenchymal_coef_MA","Subtype_Mesenchymal_Lower95_MA","Subtype_Mesenchymal_Upper95_MA","Subtype_Mesenchymal_SE_MA","Subtype_Mesenchymal_pvalue_MA","Subtype_Proneural_coef_MA","Subtype_Proneural_Lower95_MA","Subtype_Proneural_Upper95_MA","Subtype_Proneural_SE_MA","Subtype_Proneural_pvalue_MA","MGMT_Unmethylated_coef_MA","MGMT_Unmethylated_Lower95_MA","MGMT_Unmethylated_Upper95_MA","MGMT_Unmethylated_SE_MA","MGMT_Unmethylated_pvalue_MA"
"SP3",1.20530002350632e-06,0.836541183447191,0.61148595022036,1.14442719632567,0.159892618334888,0.264316766035062,0.480480750141263,0.242897194924034,0.950450462503337,0.348041537079761,0.0352061901906366,0.498790244771267,0.153024354401043,1.62583079832477,0.60286238814747,0.2485910175047,1.02788802970145,1.01556625342831,1.04035930500531,0.00615312249980957,7.81136918445279e-06,0.894907692944845,0.647083328415866,1.23764551445401,0.165434416623832,0.502111910455872,0.893228008862292,0.635894456423519,1.25469921581563,0.173375265815918,0.514874845216,1.31286214839356,0.998870788106113,1.72555553852222,0.139461465669597,0.0509545358038554
"TCFL5",4.01067647124791e-08,0.781790274650666,0.66797475426241,0.914998702628003,0.0802750127200273,0.00216531729164315,0.494210770159921,0.251617290892001,0.9706975402056,0.34442104322365,0.0407256042362595,0.42531415631494,0.129652755370561,1.39520468381007,0.606117424821033,0.158392795469298,1.0277098363823,1.0153419638702,1.04022836185263,0.0061773588636509,9.65831240801354e-06,0.820760369581439,0.59088824648818,1.14005920456049,0.167658327336541,0.238742921640055,0.837105477594518,0.593550855491712,1.18059905757904,0.175425255811412,0.310789553583304,1.32230259572313,1.00591197945024,1.73820790524011,0.13953319423167,0.0452622655955793
"MAZ",2.06361104778044e-06,1.00287890203109,0.766024170178214,1.31296913504061,0.137459832954097,0.983314659205201,0.512501420839648,0.260537794173323,1.00813667819696,0.345187745717034,0.0528080075502049,0.511158463287917,0.156378733701763,1.67083444408221,0.604296206799354,0.266780282094034,1.0277118647516,1.01533415802708,1.04024046527059,0.00618228834314957,9.8028880536952e-06,0.933649643335697,0.66944710496356,1.30212178085127,0.169722046447808,0.685838764073296,0.903371573497604,0.641636843171189,1.27187241270341,0.174549879739879,0.560438214862673,1.29613950950564,0.986905483309685,1.70226800490312,0.139069516702975,0.0621556165458521
"ZKSCAN5",8.80710478944507e-07,0.729936220863976,0.468847304355904,1.13641879046558,0.225861304988067,0.163387864200481,0.448410712489693,0.222343681459875,0.904330475034436,0.357907230673741,0.025030492487414,0.528303074648606,0.161923564138857,1.7236783303746,0.603350743068999,0.290251896383628,1.02856275215789,1.01618425100631,1.04109204022691,0.00617754177854125,5.14362662125292e-06,0.821944333397273,0.570922556846963,1.18333472570253,0.185931528074012,0.291610229048797,0.868452031597739,0.615153981014048,1.22604901287149,0.175941876205159,0.422758336622358,1.29080779026498,0.982451959120451,1.69594526830648,0.139274012969966,0.0668250501731274
"AHR",2.04581634461298e-06,0.991042962275093,0.87531010660824,1.12207793062142,0.063358130911875,0.887073291565827,0.51089382754122,0.259859659390144,1.00443640860717,0.344914542484507,0.0515191403553924,0.509685992488812,0.156082469071766,1.66437532981273,0.603791870140743,0.264330893808654,1.02764293891328,1.01523880072122,1.04019863026129,0.00619598861920042,1.07815256538232e-05,0.940702968461122,0.671014270565384,1.31878279447909,0.172368999058683,0.722864075961368,0.905467444968279,0.644290261341854,1.27251852633912,0.173626651245831,0.567362905006315,1.29373516827109,0.983946502312278,1.70105862634615,0.13965423189572,0.0651715469918613
"ARNT",2.01347681280724e-06,1.05106239826335,0.697803743623685,1.58315597349228,0.208993047365498,0.811654294493553,0.502938861261276,0.25147814515771,1.00584286562221,0.353635338306393,0.0519570094968922,0.506538353798488,0.15479009662427,1.657606716867,0.604873390304576,0.260818419499546,1.02774627882201,1.01537655145514,1.0402666992051,0.00617807053130262,9.4270324460727e-06,0.924809425663175,0.669238319739681,1.27797893301766,0.16502724694953,0.63573899687798,0.898087317423046,0.637076024585819,1.26603544724586,0.175196230855339,0.539526569628835,1.28633357943879,0.972697448418185,1.70109840452715,0.142593527085345,0.0774243064089455
"EGR3",1.01524074849252e-06,1.07838462381576,0.960648603613672,1.21055023919021,0.058986184208218,0.200772472279527,0.554816528059295,0.281002235958764,1.09544103361848,0.347085384188007,0.0896346343039902,0.569898979166379,0.172820216421599,1.87932206763681,0.608790407524551,0.35567977649903,1.02843879239067,1.01598109855279,1.04104923920395,0.00621805895863691,6.49028163744617e-06,0.90877978626682,0.660850532363056,1.24972389289602,0.162541310570854,0.55620948122503,0.92151473704949,0.655538327940253,1.29540771974021,0.173759313603004,0.638068736229796,1.30132359952192,0.99037192290461,1.70990621958069,0.139317165435104,0.0586884364396659
"SP1",1.10124426035302e-06,1.4763137106948,0.784659310690167,2.77764138230693,0.322482404894541,0.227059787214438,0.492293879379334,0.250624945077523,0.966995777692398,0.344454428952964,0.0396480768649643,0.535861933747029,0.163673485103142,1.75439541632631,0.605114712405589,0.30253658160491,1.02832635949127,1.01587079200048,1.04093464439725,0.00621767503234408,7.04088366633495e-06,0.920686803961479,0.670794542568569,1.26367186552081,0.161562674551047,0.60901808915807,0.873923182805858,0.619080197744704,1.23367171527666,0.175899995369416,0.443597143693775,1.30317918390252,0.991433540265511,1.7129499017171,0.139497546906149,0.0576578841363979
"ZNF281",1.9083944327946e-06,1.06274531798496,0.801596881861957,1.408972061213,0.143882705732127,0.672330259365079,0.495483560555351,0.247649843986762,0.991335002794234,0.353842393097032,0.0471935585399833,0.504404447332177,0.154355725043795,1.64829549675784,0.604153233883502,0.257303761713235,1.0276612401845,1.01530558782236,1.04016725333173,0.00617151182323542,9.81475152420579e-06,0.926577221837566,0.674547822925096,1.27277165361715,0.161969718950577,0.637772342167386,0.875874902721479,0.605159824813281,1.26769295277336,0.188641567985108,0.48233005268161,1.29397340604401,0.98527458249106,1.69939142377535,0.139059982214542,0.0638416590789983
"KLF9",2.00940134780273e-08,1.2465181101458,1.08698486453465,1.42946553316238,0.0698719312101925,0.0016122228317707,0.683607314725283,0.341065750226921,1.37017264394033,0.354755690592964,0.283626949599094,0.478073342935691,0.145499524306757,1.57082383818552,0.606945510209195,0.224019204617287,1.02937235875804,1.01677415380904,1.04212666009023,0.00628288823329505,4.07274666282542e-06,1.11013488628868,0.79622821870175,1.54779677083613,0.169569929376506,0.537791574035221,1.20216407523136,0.823303104343678,1.75536622679075,0.193143438203021,0.340438907073001,1.33842530878285,1.01581222863726,1.76349748180691,0.14071955641775,0.0383165931833125
