"SYMBOL_UPPER","Overall_pvalue","Expression_coef_MM","Expression_Lower95_MM","Expression_Upper95_MM","Expression_SE_MM","Expression_pvalue_MM","Recurrence_Recurrent_coef_MM","Recurrence_Recurrent_Lower95_MM","Recurrence_Recurrent_Upper95_MM","Recurrence_Recurrent_SE_MM","Recurrence_Recurrent_pvalue_MM","Recurrence_Secondary_coef_MM","Recurrence_Secondary_Lower95_MM","Recurrence_Secondary_Upper95_MM","Recurrence_Secondary_SE_MM","Recurrence_Secondary_pvalue_MM","Age_coef_MM","Age_Lower95_MM","Age_Upper95_MM","Age_SE_MM","Age_pvalue_MM","Subtype_Mesenchymal_coef_MM","Subtype_Mesenchymal_Lower95_MM","Subtype_Mesenchymal_Upper95_MM","Subtype_Mesenchymal_SE_MM","Subtype_Mesenchymal_pvalue_MM","Subtype_Proneural_coef_MM","Subtype_Proneural_Lower95_MM","Subtype_Proneural_Upper95_MM","Subtype_Proneural_SE_MM","Subtype_Proneural_pvalue_MM","MGMT_Unmethylated_coef_MM","MGMT_Unmethylated_Lower95_MM","MGMT_Unmethylated_Upper95_MM","MGMT_Unmethylated_SE_MM","MGMT_Unmethylated_pvalue_MM"
"KLF2",0.00148783865167291,1.21518987221556,0.935216515165387,1.57897813136258,0.133613448796173,0.144650992950077,0.362215132732463,0.106726708910196,1.22930617574643,0.623463946005395,0.103348952470019,0.535798408530934,0.0701972596732998,4.08961739988655,1.03698268365838,0.547345080354528,1.02793157923365,1.01076288216348,1.04539190173278,0.00859364415595515,0.00134736417037455,0.997007336970374,0.663101306414714,1.4990524379258,0.208080532940335,0.988507829202498,1.3036714650162,0.818542929560325,2.0763227282537,0.237460446164812,0.264100270075895,1.25469300567431,0.861716956407905,1.82688123609679,0.191697065714425,0.236574996579815
"SP3",0.00264161463451754,0.864648734445955,0.588013721576669,1.2714285509773,0.196724560507555,0.459744987939738,0.298131099911616,0.087440335287868,1.01648915734249,0.625815909718844,0.0531339590723431,0.428246881947492,0.0564442561678109,3.24914179668711,1.0339201830332,0.412083309879743,1.02618506557846,1.00921845130587,1.04343691641157,0.00850622037078991,0.00237577743545189,0.973923937730069,0.645979181965526,1.46835666375122,0.209476262802919,0.899625883999351,1.17993921701258,0.743561737822543,1.87241554402917,0.235599434258817,0.482488273228322,1.2573564156406,0.859921962871726,1.83847514566669,0.193842882713512,0.237432689394898
"TCFL5",0.0016486697379384,0.872403741573678,0.713864443045916,1.0661523987164,0.102328020357357,0.182212258453318,0.343075732759552,0.100576007191184,1.17026875191781,0.62605103745537,0.0874856206796663,0.354634100196766,0.0454553946730301,2.7667858991661,1.04815958977438,0.322644988553075,1.02765048975926,1.01031079754316,1.04528777844457,0.00868236099950499,0.00168119081275869,0.917097564107923,0.599678571490392,1.40253125937511,0.216748913420723,0.689694001656429,1.11467905075903,0.695558106167043,1.78634879700856,0.240620361170373,0.651849573752486,1.28015752014022,0.874496478101096,1.87399642812754,0.194437320193495,0.203997191204154
"MAZ",0.00323214795339178,0.971892896484415,0.672610409643921,1.40434312150614,0.187799029258229,0.879337219884085,0.319013820066058,0.0924276768595922,1.10107514167795,0.632056490731491,0.0706649486381294,0.456040764434252,0.0605292579621746,3.43591158767784,1.03035329542681,0.446034594657289,1.02629705542404,1.00925521678312,1.04362665503903,0.00854331149533599,0.00237908726085237,0.982141546034711,0.642665502112236,1.50093946738562,0.216387172133116,0.933632148248924,1.21516751307554,0.769252868523335,1.91956656290247,0.233278507941764,0.403489941873778,1.22461967962797,0.842796570992111,1.77942508471139,0.19064635818846,0.287845583235979
"ZKSCAN5",0.00206453104332394,1.38479911419076,0.762389107238345,2.51534100954042,0.304522585174404,0.285039423000942,0.312951606375317,0.0919190318318981,1.06548889801192,0.625083152175732,0.0631003870600817,0.410001292671245,0.0539036982428045,3.11854409756629,1.03520332003753,0.389086480622293,1.02569178991557,1.00874225900418,1.04292611765741,0.00850170479438119,0.00284702078544808,1.10883106545829,0.703566336082284,1.74753433851271,0.232095835612553,0.65624590149204,1.31532074505301,0.815570141820696,2.12129965732263,0.243855704517638,0.261036100681091,1.23412264603258,0.84838863380133,1.79523704676024,0.191216147900695,0.271280750041282
"AHR",0.00244080023554517,0.924963352022857,0.772974162661803,1.10683803406724,0.0915876492824783,0.394405105063448,0.296307479381497,0.0865104374529926,1.01488473440125,0.628140433045723,0.0528135768928419,0.474041440236964,0.0627576954769254,3.58068098827112,1.03165851664019,0.469339657301768,1.02565132232418,1.00848315379308,1.0431117575229,0.00861264455957106,0.00327392567775705,1.07036096605574,0.685487228580234,1.67132595603374,0.227362011503878,0.76489070894193,1.2469979225989,0.784919645133782,1.98109937572136,0.236184406323224,0.34999217698884,1.22358601959599,0.842617906983376,1.77679911018115,0.190323693774495,0.289042323411147
"ARNT",0.00251728336395163,0.804514152471846,0.470762040434551,1.37488362683201,0.273416153460013,0.426292574517248,0.349039835429494,0.100729729105544,1.20946226896924,0.6340652616501,0.096907825699927,0.452398217508333,0.0600275606735818,3.40950298343191,1.03050822299368,0.441471942314857,1.02684526833003,1.00980103925193,1.04417718353003,0.00853991979981484,0.00192185674734302,1.02725141247677,0.677506695410981,1.55754248863239,0.212362344830333,0.899250918138867,1.23610955527685,0.782415961906714,1.95288300218614,0.23333987508439,0.363660023433824,1.26334487491297,0.862188830692529,1.85114932617126,0.194923906966468,0.230430011216409
"EGR3",0.000360696578886866,1.19510549676672,1.03154955730521,1.38459382613979,0.0750893221325099,0.0176140670067945,0.303881691797959,0.0905249370326196,1.02009551883714,0.617875177004719,0.0538846279447877,0.686718116061376,0.0882895895061305,5.34130664288727,1.04660172904738,0.719522639247549,1.02868522751371,1.01121328095557,1.04645905788041,0.0087402782203475,0.00121316130136779,0.994215059607347,0.661140842165171,1.49508776603926,0.208160278807201,0.977764644054964,1.36332385050622,0.852217776988013,2.18095887171952,0.239718131287491,0.196054083554917,1.25954263189044,0.864512977724206,1.83507672230179,0.192012521462877,0.229465212931574
"SP1",0.0027682865869783,0.736055215836013,0.288206172922737,1.87982538772562,0.478390951367375,0.521792247260792,0.327316924840986,0.0958972746446842,1.11719931232997,0.62636422789989,0.0745813734272033,0.447083802197166,0.0592846956626055,3.37159403372216,1.03083264819995,0.434843047284235,1.02630327529709,1.00929938929562,1.04359362945877,0.00852407338864477,0.00232001460168833,1.00089640869782,0.66529523524926,1.50578805899439,0.208381574586478,0.996569235640963,1.24822663869374,0.785003411050086,1.98479359403096,0.236632445574436,0.348760180710956,1.22877219365756,0.846527421656011,1.78361747685897,0.190119890472073,0.278538595535231
"ZNF281",0.0025327499898791,0.843665981923407,0.556780900717562,1.2783705190632,0.212036984846326,0.422703136366402,0.340087552054979,0.0991689408100761,1.16628797401652,0.628775952840412,0.0862865092738207,0.513730714806158,0.066791708093149,3.95137742198746,1.04089682290704,0.522246249349823,1.02710570539262,1.00988975706663,1.0446151400865,0.00862448426961739,0.00192843648351387,1.03523937222756,0.679858307818326,1.57638811717881,0.214546570338968,0.871760522760215,1.30394518685487,0.800047659300135,2.12521470509561,0.249228256650144,0.286937060977395,1.21772724485212,0.839199594315915,1.76699280230694,0.189948853938886,0.299713173023438
"KLF9",0.000144250857119519,1.29426311768595,1.07147543283616,1.56337417216201,0.096381824233219,0.00744518820928132,0.366642140211416,0.107133295949213,1.25475892240385,0.627721974264514,0.109947537082085,0.536646038042763,0.0707692620134894,4.06940756414982,1.03364857316039,0.54707103604446,1.02406053903464,1.00682800458409,1.04158801983376,0.00865875384618447,0.00603542288834887,1.19749456673191,0.777351201437878,1.84471733587078,0.220460452618909,0.413629552546676,1.66962213429632,1.00286806582966,2.77966580681379,0.260072826430842,0.0487266057462498,1.19646783152146,0.81947808994546,1.74688657260004,0.193096078573596,0.352922674414419
"NRF1",0.00291988927837766,0.743492357281663,0.24831564852539,2.22612182767741,0.559529553570733,0.596302612241234,0.345843576397848,0.0972588676562784,1.22978790744674,0.647262107383998,0.100922045722418,0.516380544770187,0.0651075791241775,4.09551192970307,1.05655156657578,0.531619170310282,1.02673351088367,1.00965707380397,1.04409876355324,0.00855713269297913,0.00204862868591759,0.978148460853714,0.648786448024998,1.47471392841674,0.20947213693104,0.915999867188232,1.2100117141065,0.766865453716823,1.90923758682655,0.232695067932093,0.412657015436643,1.23003597025985,0.846911303281837,1.78647809076364,0.190413050700513,0.276887304368203
"ZNF263",0.00108030947952727,0.672858924283342,0.423390694815227,1.06931762443508,0.23635143706296,0.0936598321730554,0.33734079176597,0.0998601587695565,1.13958170296826,0.621094512716808,0.0801888475353887,0.597899509993804,0.077177047923211,4.63199660612203,1.04457051576353,0.622446031131504,1.0292420048495,1.01166816235172,1.04712112525523,0.00878689585949779,0.00103740305261627,0.981905417823092,0.652881779704536,1.47674246628029,0.208217559090936,0.930116603792018,1.29478909512363,0.813793070096564,2.06007996683006,0.236941588509216,0.275561674143326,1.22693278627833,0.843442241301474,1.78478618728162,0.191218431899089,0.284822590907241
