Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
14	Chemoattractant Activity (GO:0042056)	2/35	0.0127292489289027	0.134566345819829	0	0	12.5435606060606	54.7382529286947	PDGFB;VEGFC
15	Catalytic Activity, Acting On A tRNA (GO:0140101)	2/39	0.0156533387207346	0.148873235328125	0	0	11.1852477477477	46.4978695764318	PUS10;PTRH1
16	Chemokine Activity (GO:0008009)	2/46	0.0213859901441864	0.148873235328125	0	0	9.40246212121212	36.152647735938	KLF5;CCL2
17	DNA Binding (GO:0003677)	9/846	0.0229202668825277	0.148873235328125	0	0	2.30337078651685	8.69691480155483	EGR1;CSRNP2;FOXD1;TFAP4;TINF2;LEF1;MCM10;ETS2;UNG
18	Sequence-Specific Double-Stranded DNA Binding (GO:1990837)	8/715	0.0241393002244909	0.148873235328125	0	0	2.41332704699041	8.98702250223348	EGR1;KLF5;TFAP4;ORC2;LEF1;MCM10;CDC6;ETS2
19	Uridine Transmembrane Transporter Activity (GO:0015213)	1/5	0.0242633091136396	0.148873235328125	0	0	51.2835051546392	190.712585247944	SLC29A1
20	Double-Stranded Methylated DNA Binding (GO:0010385)	1/5	0.0242633091136396	0.148873235328125	0	0	51.2835051546392	190.712585247944	EGR1
21	Sequence-Specific DNA Binding (GO:0043565)	8/717	0.0244935743227238	0.148873235328125	0	0	2.40626860993575	8.92567915768427	EGR1;CSRNP2;FOXD1;KLF5;TFAP4;TINF2;LEF1;ETS2
22	Chemokine Receptor Binding (GO:0042379)	2/50	0.0249948795228369	0.148873235328125	0	0	8.6171875	31.7895310662435	KLF5;CCL2
23	Protein Serine/Threonine Kinase Activity (GO:0004674)	5/342	0.0265322806517875	0.148873235328125	0	0	3.12131074311605	11.3284638285715	CDK6;PLK2;LMTK2;FAM20C;SGK1
24	Phosphoric Ester Hydrolase Activity (GO:0042578)	2/52	0.0268859021542303	0.148873235328125	0	0	8.27166666666667	29.9116139955165	DUSP4;DUSP5
25	Primary miRNA Binding (GO:0070878)	1/6	0.0290455975649231	0.148873235328125	0	0	41.0247422680412	145.181982637693	PUS10
26	Pyrimidine Nucleobase Transmembrane Transporter Activity (GO:0005350)	1/6	0.0290455975649231	0.148873235328125	0	0	41.0247422680412	145.181982637693	SLC29A1
27	Armadillo Repeat Domain Binding (GO:0070016)	1/7	0.0338046866171996	0.148873235328125	0	0	34.1855670103093	115.791842559515	LEF1
28	Inorganic Phosphate Transmembrane Transporter Activity (GO:0005315)	1/7	0.0338046866171996	0.148873235328125	0	0	34.1855670103093	115.791842559515	SLC20A1
29	Crossover Junction DNA Endonuclease Activity (GO:0008821)	1/7	0.0338046866171996	0.148873235328125	0	0	34.1855670103093	115.791842559515	XRCC3
30	Cyclic Nucleotide-Dependent Protein Kinase Activity (GO:0004690)	1/7	0.0338046866171996	0.148873235328125	0	0	34.1855670103093	115.791842559515	PRKG2
31	Pyrimidine Nucleoside Transmembrane Transporter Activity (GO:0015214)	1/7	0.0338046866171996	0.148873235328125	0	0	34.1855670103093	115.791842559515	SLC29A1
32	Tropomyosin Binding (GO:0005523)	1/8	0.0385406873099314	0.148873235328125	0	0	29.300441826215	95.4034335307633	TNNT2
33	Type II Transforming Growth Factor Beta Receptor Binding (GO:0005114)	1/8	0.0385406873099314	0.148873235328125	0	0	29.300441826215	95.4034335307633	TGFB1
34	Volume-Sensitive Anion Channel Activity (GO:0005225)	1/8	0.0385406873099314	0.148873235328125	0	0	29.300441826215	95.4034335307633	LRRC8B
35	Nucleoside Transmembrane Transporter Activity (GO:0005337)	1/8	0.0385406873099314	0.148873235328125	0	0	29.300441826215	95.4034335307633	SLC29A1
36	Superoxide-Generating NADPH Oxidase Activator Activity (GO:0016176)	1/9	0.0432537102642525	0.148873235328125	0	0	25.6365979381443	80.5161520575775	PDGFB
37	DNA Endonuclease Activity, Producing 3'-Phosphomonoesters (GO:0016889)	1/9	0.0432537102642525	0.148873235328125	0	0	25.6365979381443	80.5161520575775	XRCC3
38	Phosphatidylinositol Transfer Activity (GO:0008526)	1/9	0.0432537102642525	0.148873235328125	0	0	25.6365979381443	80.5161520575775	PITPNC1
39	Type I Transforming Growth Factor Beta Receptor Binding (GO:0034713)	1/9	0.0432537102642525	0.148873235328125	0	0	25.6365979381443	80.5161520575775	TGFB1
40	Prostaglandin Receptor Activity (GO:0004955)	1/9	0.0432537102642525	0.148873235328125	0	0	25.6365979381443	80.5161520575775	PTGER4
