"SYMBOL","log2FC_Male","pvalue_Male","padj_Male","log2FC_Female","pvalue_Female","padj_Female"
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.43784025127443,0.8328516068358,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.516236176231776,0.00500875089104092,0.0370804341494048
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.0490732278206536,0.992054250907269,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.219637751000134,0.751162999923144,0.892456210546856
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.0490737157152425,0.98133144987402,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.296872237974539,0.819478946326603,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,1.30573744351591,0.17025382499261,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.0219311695293947,0.943790669286756,0.980180566221437
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-1.65197976513275,0.36696368326013,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.229207440883146,0.5111534415524,0.749034646235797
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0,1,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,1.50982699679182,0.61705479157963,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,1.01086219021448,0.803328021891331,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0,1,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.752328651640402,0.315851504973503,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.0313349800259961,0.965373928801957,0.987569605522968
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.425566829034653,0.931173703752308,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,1.37449778076584,0.400998475035926,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.0444205407764375,0.979562254251976,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,2.09097083618133,0.28756370839881,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.184992005840068,0.187800773904994,0.437720550099083
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.125124672343261,0.302461133742576,0.569838641265614
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.425663130086574,0.92159707477719,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.936552444428885,0.502677593315397,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.529965736114266,0.914353699005806,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.0490733834604953,0.990755655640976,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.158079046247944,0.915126771856689,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.235559065267892,0.75109034964758,0.892456210546856
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.0490733976477066,0.990602983612375,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,1.45739663543369,0.721808771849077,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.0490737175455475,0.981171127566069,NA
