"SYMBOL_UPPER","Overall_pvalue","Expression_coef_FF","Expression_Lower95_FF","Expression_Upper95_FF","Expression_SE_FF","Expression_pvalue_FF","Recurrence_Recurrent_coef_FF","Recurrence_Recurrent_Lower95_FF","Recurrence_Recurrent_Upper95_FF","Recurrence_Recurrent_SE_FF","Recurrence_Recurrent_pvalue_FF","Recurrence_Secondary_coef_FF","Recurrence_Secondary_Lower95_FF","Recurrence_Secondary_Upper95_FF","Recurrence_Secondary_SE_FF","Recurrence_Secondary_pvalue_FF","Age_coef_FF","Age_Lower95_FF","Age_Upper95_FF","Age_SE_FF","Age_pvalue_FF","Subtype_Mesenchymal_coef_FF","Subtype_Mesenchymal_Lower95_FF","Subtype_Mesenchymal_Upper95_FF","Subtype_Mesenchymal_SE_FF","Subtype_Mesenchymal_pvalue_FF","Subtype_Proneural_coef_FF","Subtype_Proneural_Lower95_FF","Subtype_Proneural_Upper95_FF","Subtype_Proneural_SE_FF","Subtype_Proneural_pvalue_FF","MGMT_Unmethylated_coef_FF","MGMT_Unmethylated_Lower95_FF","MGMT_Unmethylated_Upper95_FF","MGMT_Unmethylated_SE_FF","MGMT_Unmethylated_pvalue_FF"
"WT1",0.00135956483895307,1.34930777887773,1.05319187647177,1.72867976179149,0.12641368468489,0.0177914073329789,0.231487062768784,0.0664644798374086,0.80623906724925,0.636673086987032,0.021547799465154,0.576177613133491,0.129915832528694,2.55535168743104,0.759977827327533,0.468165199202634,1.02451318002485,1.00594739126523,1.04342161941934,0.00933067048656896,0.00944593474663382,0.758999440916732,0.438192211542381,1.31467455636462,0.280282388794306,0.325192060631259,0.632609511456785,0.367270507121008,1.0896458774288,0.27743096167877,0.0988391439804363,1.20923781482439,0.775806523187176,1.88482056943014,0.22645435079814,0.401481561763821
"KLF2",0.00676432084421304,1.18346677109293,0.793099175532115,1.76597535527815,0.204215525064355,0.409454262136976,0.539911878642836,0.190783320132588,1.52793670063531,0.530758530383605,0.245535652959801,0.635246926926201,0.144796951584357,2.78692785831257,0.754443127085341,0.547556477911572,1.02929944751461,1.0092960301758,1.04969931613557,0.010013109902399,0.0039258232214462,0.782441645773402,0.452474457990029,1.35303754329064,0.279437803319945,0.379964028728382,0.68733015832751,0.388009915625099,1.21755328284698,0.29173182061846,0.198714276699468,1.31310295233051,0.825146741533625,2.089615430359,0.23703856083598,0.250493890444944
"ZNF682",0.00594921036877953,0.66767108772087,0.301903313867939,1.47658094794338,0.404950734567201,0.318496412754161,0.453714700360965,0.169130076565038,1.21715210862853,0.503478886501837,0.116496070471914,0.619706343333606,0.140651211762476,2.73041339036913,0.756627462241435,0.527109694216713,1.02849381835738,1.00927037944109,1.04808340356241,0.00962657818607577,0.00351690425825378,0.701305355434329,0.384772302363817,1.2782344221228,0.306276880488794,0.246673207233368,0.667519701431953,0.384921958843172,1.15759192626718,0.280886944861312,0.150160549136964,1.26913188724736,0.812765217357606,1.9817478809743,0.227374642384737,0.294548469612246
"SP2",0.00693984469380665,0.639053939235357,0.20911568841549,1.95293782282274,0.569960080728606,0.432095924770991,0.405837670306478,0.142928912995552,1.15235057195822,0.532461752517177,0.0903324611229641,0.669639757610047,0.152157928486194,2.94705250941116,0.756044967974262,0.59582625015471,1.02605261004747,1.00722822792751,1.04522880653519,0.00944751685991456,0.00648282821927362,0.701135308728532,0.369656706504635,1.3298574393366,0.326600968796253,0.276983857274358,0.584921834119594,0.326569354849801,1.04765969907736,0.297370707171933,0.0713260908996161,1.19972983661981,0.763281697221529,1.88574111774888,0.230731032720641,0.429986348017336
"TFAP2A",0.0033081043658728,1.28612586184695,0.958989407335282,1.72485714634515,0.149752619860025,0.0928922544996692,0.41379612222517,0.151838664849874,1.12769188887352,0.511516977025065,0.0845221528768511,0.592857557413978,0.133312324352515,2.63651605423559,0.761370870344423,0.492298504406325,1.02734638834823,1.00844740264312,1.04659955381498,0.00947325204076064,0.00440046441826729,0.815560836102797,0.473412781204238,1.40498842404033,0.277509346023782,0.462537271177823,0.565269724731206,0.321348264962533,0.994341331623333,0.288157097785327,0.0477420611214096,1.26001189719469,0.80692948220971,1.96749532155469,0.227371606734617,0.309395691351379
"RREB1",0.00877693201369303,1.02071937733596,0.235870378748481,4.41712118663322,0.747452774438248,0.978111412944044,0.465511801095429,0.167340729115493,1.2949700775449,0.522002153079274,0.142981202519616,0.642245918855512,0.144004022583532,2.86436318157219,0.762835470203072,0.56161459911702,1.02659489328863,1.00742800533987,1.04612644212798,0.00961591300766177,0.00634152022933787,0.800863792415756,0.46108418470341,1.39103190974792,0.281694077277789,0.430510967117118,0.635914257311511,0.369275843663826,1.09508095260135,0.277311131437991,0.102588531259688,1.24081470907879,0.795732694488679,1.93484715775768,0.226667505783363,0.34114011720604
"INSM1",0.0042320920640195,0.905800116770014,0.785914252094861,1.04397375331162,0.0724354981543085,0.171983475554818,0.377280029142898,0.134033676368414,1.06197355953156,0.5280181769657,0.0648795487938881,0.711766259623375,0.159745729896203,3.17135993974567,0.762343705939388,0.655596852069206,1.02606989657007,1.00744376497894,1.04504039753456,0.00934694361823745,0.00589798783703605,0.800858328270387,0.46590509400832,1.37661955236872,0.276383706366166,0.421692260241128,0.724462630783379,0.409079653429655,1.28299244169529,0.291597344071954,0.268996116369403,1.24806015822614,0.801416535259923,1.94362617942026,0.226006663393873,0.326859150292523
"TFAP2B",0.00763207929007777,0.809506810560318,0.402520981681034,1.62799284053921,0.356474898511333,0.553292903416274,0.466773406017272,0.174428494866537,1.24909300359251,0.502217923186641,0.12924317755768,0.602063742593337,0.13420377346464,2.70097286229437,0.765832430540066,0.507627436976885,1.02728622720266,1.00815803880574,1.04677734241984,0.00958979482137045,0.0049972224761246,0.827427496124127,0.476415786477017,1.4370562033743,0.281653395591157,0.50121599148857,0.696156335151867,0.376888400111649,1.28588102692604,0.313079799792931,0.247340622130757,1.25376189628299,0.803672946661499,1.95591863468958,0.226897753039636,0.318911094777893
"KLF6",0.000376179626618925,1.51909631784228,1.14251734882896,2.01979744574316,0.145350426807168,0.00401979609345853,0.377927464453963,0.142384326726106,1.0031242319483,0.498056272529576,0.0507365981811995,0.360000317019925,0.0719983930415912,1.80004334512828,0.821168717821194,0.21344736120896,1.03081405514364,1.01170045750816,1.05028875730554,0.00954930732606491,0.00148233906151567,0.794373638072861,0.460597500581117,1.37002366723434,0.278081317231902,0.407772292652244,0.848787734900821,0.473427155913378,1.52175600811941,0.297868268431865,0.582046322294225,1.33836970149732,0.852643681368834,2.10079954502259,0.230037785881917,0.205164060035657
"SOX15",0.00816005827475294,0.916199096289918,0.61908982814743,1.35589497012793,0.199995162079548,0.661662854303026,0.460602448523954,0.172368244090868,1.23082193419815,0.50148990941456,0.122144748672139,0.681539809716239,0.15078503673355,3.08052126583921,0.769656713810885,0.618381871534674,1.02683474112837,1.00806608302905,1.04595284311116,0.00941204935113223,0.00490020994322705,0.77558320018878,0.441274529754039,1.36316342742545,0.287733891521942,0.377102983268907,0.609802449902072,0.343805333688813,1.08159761198803,0.292382640629605,0.090705463073623,1.23942604370609,0.795382972409722,1.93136761925249,0.226320464049121,0.342912196637738
